id	token	count
148480	καὶ	289209
148481	 οὐδὲ	73924
148482	 φη	2168
148483	 ἦν	108998
148484	τῶν	97977
148485	μέ	72823
148486	 ταῦτα	101933
148487	ρὸς	58313
148488	 παρὰ	98106
148489	αὐ	58455
148490	 οὗ	47226
148491	ὶν	36413
148492	 οἷ	26494
148493	 δὴ	89077
148494	ἔ	88330
148495	 ταῖς	87166
148496	 πᾶ	5463
148497	ῆναι	40787
148498	οὐ	50915
148499	 ἐστιν	82097
148500	ίας	81608
148501	τὸν	76864
148502	 ἐστ	15861
148503	εἰ	47426
148504	 ὧ	10737
148505	 ἐστι	74355
148506	τὸ	74044
148507	 αὐτοῖς	73920
148508	τὴν	73534
148509	 ἐκεί	40608
148510	τῳ	51250
148511	όν	72049
148512	ρῶν	61049
148513	 οὕτως	70360
148514	εῖν	53044
148515	θαι	20907
148516	 πά	55619
148517	ὕ	17684
148518	ὁ	67785
148519	ἄ	55353
148520	ᾷ	65790
148521	 ἡμῖν	65279
148522	 νῦν	65250
148523	 ἀγα	24459
148524	τῆς	65052
148525	 ἐς	64641
148526	 ὧν	64339
148527	ἡ	53513
148528	ῖον	53139
148529	 οὐχ	51290
148530	 ἵνα	62639
148531	σῃ	62499
148532	ᾶλλον	6153
148533	 αὐτὸς	62187
148534	ὖ	6038
148535	 δʼ	61762
148536	ίαν	61464
148537	 τιν	45003
148538	ἐν	61260
148539	 ἑαυτ	16822
148540	ὲρ	6231
148541	 οὕτω	60482
148542	 ἐπε	27879
148543	 οὔτε	59717
148544	 ᾿	59632
148545	 ἥ	58949
148546	ἶ	17184
148547	 Οὐ	46470
148548	 μᾶλλον	56258
148549	 ὥσπερ	56166
148550	 ἡμᾶς	56032
148551	ὅ	34685
148552	ρί	44436
148553	ρὸν	54979
148554	 ὑπὲρ	54759
148555	ῆσαι	53728
148556	 σὺ	24646
148557	ῥ	12092
148558	Καὶ	52452
148559	 οἶ	41046
148560	λεῖ	31326
148561	 χρ	36453
148562	δὴ	15151
148563	 αὐτοὺς	51474
148564	ίοις	50521
148565	ῆν	26887
148566	 φησ	5650
148567	 ἔτι	49766
148568	ὲν	9588
148569	 μέ	49714
148570	Ἐ	39349
148571	 ἐλ	49445
148572	 ἐφ	49412
148573	 αὐτῆς	49251
148574	σοῦ	13727
148575	 δεῖ	48726
148576	 Εἰ	48627
148577	 οὐδὲν	48605
148578	 ἐγ	18359
148579	ασθαι	11576
148580	 μηδὲ	26115
148581	ἴ	32761
148582	 ἔχ	37738
148583	 πρῶ	18471
148584	 γάρ	47214
148585	τῷ	36844
148586	 ἡμέ	20754
148587	 ἀφ	46613
148588	 Ῥ	20917
148589	 πάλιν	46062
148590	ροῦ	45411
148591	 ὑπερ	45324
148592	 υἱ	33892
148593	 ἔν	44802
148594	λλὰ	13338
148595	 ὦ	44435
148596	θῆναι	44069
148597	 Υἱ	30007
148598	νην	43486
148599	ῤ	2858
148600	 ἁμαρ	43411
148601	σθη	30338
148602	τὰ	43196
148603	 Θεὸς	43023
148604	 αὐτὴν	42985
148605	ός	42878
148606	 σοι	42645
148607	 λέ	42560
148608	 ἄλλο	28527
148609	 οὐραν	41869
148610	 ὥστε	41572
148611	 ὠ	41528
148612	σται	13458
148613	 τοια	7293
148614	τῃ	28682
148615	 ἑαυτο	14973
148616	 πῶς	40782
148617	 ἀγαθ	19696
148618	ῤῥ	40627
148619	μένην	40482
148620	ἐπ	21081
148621	εὶ	11318
148622	θεῖν	40016
148623	μεῖς	19675
148624	 ἁγ	29630
148625	 αὐτὸ	39746
148626	πεῖν	12020
148627	ῦμα	7245
148628	ῦς	38694
148629	θεὶς	38682
148630	σαντες	38677
148631	 ἀνθρώπ	15224
148632	τοῖς	38564
148633	σατο	38383
148634	 ἱερ	38321
148635	Ἀ	38134
148636	ὴρ	26738
148637	ὴς	37447
148638	ία	37293
148639	ιοῦ	10343
148640	 πολλο	15415
148641	 ἧ	17533
148642	 μέν	19957
148643	εσθαι	36876
148644	 ἤδη	36761
148645	ρῶ	36636
148646	πειδὴ	13423
148647	μένοις	36365
148648	θέ	36110
148649	 πρὸ	36085
148650	τέ	35968
148651	ὡ	3924
148652	"·
"	35810
148653	 τού	21759
148654	ὼς	35675
148655	 ἀνδ	24676
