id	token	count
148480	καὶ	361727
148481	 οὐδὲ	92388
148482	 φη	2645
148483	 ἦν	133029
148484	τῶν	106866
148485	μέ	21534
148486	 ταῦτα	126852
148487	ρὸς	32119
148488	 παρὰ	120418
148489	αὐ	24741
148490	 οὗ	59261
148491	ὶν	16675
148492	 οἷ	13212
148493	 δὴ	108954
148494	ἔ	71966
148495	 ταῖς	107853
148496	 πᾶ	2373
148497	ῆναι	26488
148498	οὐ	48024
148499	 ἐστιν	102944
148500	ίας	87022
148501	τὸν	73400
148502	 ἐστ	6539
148503	εἰ	53135
148504	 ὧ	5005
148505	 ἐστι	93970
148506	τὸ	86727
148507	 αὐτοῖς	90786
148508	τὴν	87930
148509	 ἐκεί	4513
148510	τῳ	50045
148511	όν	59353
148512	ρῶν	49390
148513	 οὕτως	88053
148514	εῖν	47470
148515	θαι	17859
148516	 πά	24352
148517	ὕ	13369
148518	ὁ	79414
148519	ἄ	50187
148520	ᾷ	48540
148521	 ἡμῖν	81756
148522	 νῦν	82369
148523	 ἀγα	12163
148524	τῆς	76528
148525	 ἐς	75045
148526	 ὧν	79856
148527	ἡ	50291
148528	ῖον	42100
148529	 οὐχ	63610
148530	 ἵνα	78015
148531	σῃ	58365
148532	ᾶλλον	958
148533	 αὐτὸς	77157
148534	ὖ	7442
148535	 δʼ	78679
148536	ίαν	57665
148537	 τιν	5754
148538	ἐν	76805
148539	 ἑαυτ	7940
148540	ὲρ	2617
148541	 οὕτω	75798
148542	 ἐπε	34207
148543	 οὔτε	74758
148544	 ᾿	75153
148545	 ἥ	42263
148546	ἶ	7966
148547	 Οὐ	44082
148548	 μᾶλλον	71342
148549	 ὥσπερ	71799
148550	 ἡμᾶς	70678
148551	ὅ	32734
148552	ρί	30460
148553	ρὸν	42460
148554	 ὑπὲρ	67119
148555	ῆσαι	47344
148556	 σὺ	30303
148557	ῥ	14939
148558	Καὶ	65366
148559	 οἶ	16194
148560	λεῖ	24914
148561	 χρ	27357
148562	δὴ	7264
148563	 αὐτοὺς	63679
148564	ίοις	42770
148565	ῆν	20163
148566	 φησ	245
148567	 ἔτι	61530
148568	ὲν	12264
148569	 μέ	36543
148570	Ἐ	28214
148571	 ἐλ	12386
148572	 ἐφ	50261
148573	 αὐτῆς	61261
148574	σοῦ	11254
148575	 δεῖ	52693
148576	 Εἰ	55093
148577	 οὐδὲν	60554
148578	 ἐγ	15823
148579	ασθαι	1325
148580	 μηδὲ	32283
148581	ἴ	14071
148582	 ἔχ	8456
148583	 πρῶ	5686
148584	 γάρ	58652
148585	τῷ	41918
148586	 ἡμέ	12100
148587	 ἀφ	48056
148588	 Ῥ	13148
148589	 πάλιν	58042
148590	ροῦ	34564
148591	 ὑπερ	47746
148592	 υἱ	12125
148593	 ἔν	22854
148594	λλὰ	3452
148595	 ὦ	52637
148596	θῆναι	51194
148597	 Υἱ	3045
148598	νην	35619
148599	ῤ	3292
148600	 ἁμαρ	15819
148601	σθη	29642
148602	τὰ	51515
148603	 Θεὸς	54927
148604	 αὐτὴν	53359
148605	ός	39019
148606	 σοι	52951
148607	 λέ	21441
148608	 ἄλλο	32313
148609	 οὐραν	17322
148610	 ὥστε	52134
148611	 ὠ	29009
148612	σται	13324
148613	 τοια	3594
148614	τῃ	29090
148615	 ἑαυτο	363
148616	 πῶς	51240
148617	 ἀγαθ	15626
148618	ῤῥ	32237
148619	μένην	47465
148620	ἐπ	26441
148621	εὶ	10097
148622	θεῖν	19283
148623	μεῖς	9438
148624	 ἁγ	19523
148625	 αὐτὸ	50322
148626	πεῖν	11974
148627	ῦμα	5644
148628	ῦς	28027
148629	θεὶς	43916
148630	σαντες	44267
148631	 ἀνθρώπ	4367
148632	τοῖς	41011
148633	σατο	36838
148634	 ἱερ	27919
148635	Ἀ	42260
148636	ὴρ	13202
148637	ὴς	42877
148638	ία	37846
148639	ιοῦ	9244
148640	 πολλο	1569
148641	 ἧ	11250
148642	 μέν	24662
148643	εσθαι	30319
148644	 ἤδη	44832
148645	ρῶ	24491
148646	πειδὴ	490
148647	μένοις	38190
148648	θέ	33417
148649	 πρὸ	44210
148650	τέ	24839
148651	ὡ	5042
148652	"·
"	47441
148653	 τού	3777
148654	ὼς	22375
148655	 ἀνδ	15535
148656	 ἐμ	19713
148657	 ἀπε	40569
148658	 ἣ	6739
148659	 ἀδελ	9441
148660	 οἴ	29080
148661	 ἀληθ	10106
148662	 ἄρα	43472
148663	 οὐδ	34968
148664	γὰρ	42832
148665	έναι	20036
148666	 ἔστι	42794
148667	 γῆς	41417
148668	ῶμα	6212
148669	ἂν	17653
148670	ὗ	3735
148671	ἑ	28174
148672	 ἐπεὶ	39973
148673	 οἷον	42616
148674	 βασιλε	11437
148675	 λόγον	40336
148676	νεῦμα	1608
148677	 ἃ	31217
148678	 οὗτος	39546
148679	 Χριστοῦ	40052
148680	 τοῦτον	39821
148681	 Αἰ	18931
148682	ᾶν	30592
148683	ὡς	39877
148684	 οἷς	39250
148685	 ἔφη	37071
148686	ίνυν	3214
148687	 εἰσ	20057
148688	ξιν	28117
148689	 ὅταν	40496
148690	νοις	23250
148691	 ἔχειν	39038
148692	 ἔστιν	39555
148693	 αὑ	12163
148694	 μὴν	38416
148695	 ὁμο	27918
148696	τοὺς	33532
148697	ουσι	28359
148698	ικὸν	39024
148699	 ἀρετ	6174
148700	 ἀπέ	36764
148701	σίαν	22782
148702	 τινα	37251
148703	 ἐγὼ	37210
148704	 ἐστὶ	38589
148705	 αἴ	15597
148706	ρό	25821
148707	 ἀνθ	5270
148708	 ἄλλων	37080
148709	ίων	38663
148710	 τούτοις	36181
148711	ίᾳ	35729
148712	νοῦ	30339
148713	 ᾧ	36618
148714	 ἣν	36889
148715	 ἐστὶν	37416
148716	 πρῶτον	36538
148717	 λό	8780
148718	μὲν	37384
148719	ἀν	18265
148720	 τοίνυν	36085
148721	 ἅμα	36013
148722	 σὺν	35596
148723	μά	18051
148724	 δῆ	7885
148725	 ἀεὶ	36537
148726	 λέγει	35567
148727	τοις	24138
148728	 αὖ	16656
148729	 εὑ	20715
148730	ἐκ	34909
148731	 ὑμῶν	35082
148732	ίῳ	28999
148733	 ἐπισ	20052
148734	 Θεὸν	35514
148735	ίου	32529
148736	 ἔσται	36211
148737	εἰς	34563
148738	ῦθα	2680
148739	 εἰπεῖν	34364
148740	 ἄρ	26644
148741	 ἑκά	13302
148742	 Ἰη	1265
148743	 εἴη	33989
148744	ρῳ	30127
148745	ξαι	25859
148746	ῖα	22291
148747	 τοιοῦ	6821
148748	σασθαι	30166
148749	πρὸς	34220
148750	 ταύτην	33081
148751	"·
"	35070
148752	εἶ	15027
148753	 αὐτῇ	32880
148754	κοῦ	21451
148755	μένον	29127
148756	 ἀνε	29031
148757	 ἕκα	2348
148758	λοῦ	22670
148759	ρὶ	10261
148760	 ἄλλ	6823
148761	 ὑμῖν	32264
148762	μῶν	16082
148763	 ἑαυτοῦ	32240
148764	ὀ	29360
148765	 σῶμα	33202
148766	ῆλ	2676
148767	 ὁρ	27355
148768	στερον	13418
148769	 ἔργ	523
148770	χον	22066
148771	ρηται	14805
148772	 Ῥωμα	4400
148773	 πολλὰ	31295
148774	 ἀρ	31484
148775	 ὅσα	31474
148776	ῖται	26565
148777	ροις	20788
148778	 Ἰουδα	10938
148779	 Θεῷ	31480
148780	 ἀκού	22243
148781	λοις	23152
148782	 εἶπεν	30198
148783	 κἀ	10888
148784	 ἔλε	2770
148785	̓	17899
148786	 λοιπ	4185
148787	ρᾳ	17678
148788	ρά	24791
148789	 ὃν	29415
148790	 ὀλί	14099
148791	 ἀπα	22222
148792	όμενον	24087
148793	 ἐὰν	32003
148794	μένῳ	29757
148795	 πόλιν	28470
148796	ίᾳ	29491
148797	 ἄλ	5644
148798	ἀλλ	24044
148799	 ψυχῆς	29648
148800	πὸ	6008
148801	 ἀνέ	28628
148802	 ὀφ	6196
148803	άρ	13583
148804	 ἀνθρώπων	28740
148805	 ὅτε	28809
148806	 γῆν	28894
148807	ρεῖν	24201
148808	νοιαν	19075
148809	 ἐπειδὴ	29182
148810	τῇ	28501
148811	 λέγων	28295
148812	 ἐχ	9994
148813	κις	5953
148814	 μό	16021
148815	ἀπο	28628
148816	νῳ	13579
148817	 ὅπερ	29143
148818	 γενέσθαι	27495
148819	ῖος	22539
148820	Ὁ	28696
148821	 εἰρη	17719
148822	ήν	25212
148823	 φησιν	27503
148824	 φύσιν	29187
148825	λέως	4605
148826	 δέ	29427
148827	ρώ	13934
