variant_id,language,slice,metric,value,source,tier,polytonic_added_count,final_vocab_size,tokenizer_sha256
c3p_poly_added_0000,global,flores_plus_55,fertility,44.75359411568037,tokeval-lines,T1,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,global,flores_plus_55,fertility__median,42.0,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,global,flores_plus_55,fertility__std,18.33474822029728,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,eng_Latn,flores_plus_55,fertility,26.55667001003009,tokeval-lines,T1,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,eng_Latn,flores_plus_55,fertility__median,25.0,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,eng_Latn,flores_plus_55,fertility__std,8.985558911458272,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,cmn_Hani,flores_plus_55,fertility,37.952858575727184,tokeval-lines,T1,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,cmn_Hani,flores_plus_55,fertility__median,36.0,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,cmn_Hani,flores_plus_55,fertility__std,14.38797504274145,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,spa_Latn,flores_plus_55,fertility,34.89769307923771,tokeval-lines,T1,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,spa_Latn,flores_plus_55,fertility__median,33.0,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,spa_Latn,flores_plus_55,fertility__std,11.685427349099196,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,rus_Cyrl,flores_plus_55,fertility,40.43630892678034,tokeval-lines,T1,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
c3p_poly_added_0000,rus_Cyrl,flores_plus_55,fertility__median,39.0,tokeval-lines,T3,0,148480,327827af17c54e3796676c0e1f8ccba932e1a1667f340290010955753f37c432
