rank	token_id	decoded	count	mass_pct	popcount
1	1371	'م'	330	0.0000	3
2	1764	'ى'	302	0.0000	1
3	1280	'ا'	291	0.0000	3
4	1527	'س'	282	0.0000	3
5	1339	'ي'	278	0.0000	2
6	1380	'و'	278	0.0000	3
7	1350	'ال'	258	0.0000	3
8	1345	'ن'	248	0.0000	3
9	1508	'ب'	234	0.0000	3
10	1624	'ان'	229	0.0000	3
11	4385	'ِ'	223	0.0000	1
12	2739	'َ'	220	0.0000	1
13	1467	'ی'	210	0.0000	2
14	1422	'ه'	192	0.0000	2
15	5435	'بن'	188	0.0000	3
16	14661	'محمد'	185	0.0000	3
17	1388	'ت'	176	0.0000	3
18	1708	'ح'	175	0.0000	3
19	1516	'و'	172	0.0000	3
20	3029	'ہ'	171	0.0000	1
