rank	token_id	decoded	count	mass_pct	popcount
1	2051	'ի'	142	0.0000	1
2	2486	'ան'	134	0.0000	1
3	2057	'ե'	111	0.0000	1
4	2050	'ն'	106	0.0000	1
5	11138	'Ա'	78	0.0000	1
6	4703	'ար'	70	0.0000	1
7	1852	'ր'	69	0.0000	1
8	2286	'ւ'	67	0.0000	1
9	1596	'ա'	57	0.0000	1
10	54785	'է'	49	0.0000	1
11	33240	'Ա'	48	0.0000	1
12	16125	'իկ'	46	0.0000	1
13	7216	'ս'	44	0.0000	1
14	4113	'ին'	43	0.0000	1
15	6297	'ատ'	41	0.0000	1
16	6464	'մ'	41	0.0000	1
17	4419	'ք'	40	0.0000	1
18	24909	'յան'	37	0.0000	1
19	20559	'Ս'	37	0.0000	1
20	56921	'Ս'	37	0.0000	1
