rank	token_id	decoded	count	mass_pct	popcount
1	2222	'্'	1513	0.0002	1
2	2067	'া'	217	0.0000	1
3	4086	'ন'	174	0.0000	1
4	6386	'ম'	164	0.0000	1
5	12426	'র'	159	0.0000	1
6	11825	'য'	156	0.0000	1
7	5844	'ব'	155	0.0000	1
8	5412	'ব'	155	0.0000	1
9	2167	'র'	146	0.0000	1
10	6602	'ী'	137	0.0000	1
11	6855	'স'	119	0.0000	1
12	2426	'ি'	118	0.0000	1
13	4797	'ু'	111	0.0000	1
14	5183	'ক'	110	0.0000	1
15	7584	'ম'	105	0.0000	1
16	5542	'ল'	104	0.0000	1
17	5031	'ক'	101	0.0000	1
18	9428	'দ'	95	0.0000	1
19	5454	'ত'	91	0.0000	1
20	10227	'াল'	73	0.0000	1
