rank	token_id	decoded	count	mass_pct	popcount
1	5111	'С'	1560	0.0002	5
2	1315	'а'	1288	0.0001	5
3	1756	'и'	1092	0.0001	5
4	2463	'ка'	1001	0.0001	5
5	1334	'е'	972	0.0001	5
6	2027	'на'	961	0.0001	5
7	1377	'с'	920	0.0001	5
8	7620	'А'	915	0.0001	5
9	7965	'К'	908	0.0001	5
10	6253	'П'	892	0.0001	5
11	3747	'ъ'	884	0.0001	2
12	1570	'я'	874	0.0001	3
13	1481	'к'	869	0.0001	5
14	2982	'С'	843	0.0001	5
15	3777	'А'	834	0.0001	5
16	1363	'н'	832	0.0001	5
17	5800	'В'	828	0.0001	5
18	1712	'ь'	817	0.0001	3
19	1367	'р'	807	0.0001	5
20	9277	'О'	800	0.0001	5
