rank	token_id	decoded	count	mass_pct	popcount
1	3525	'म'	492	0.0000	1
2	2622	'क'	437	0.0000	1
3	1820	'र'	432	0.0000	1
4	4658	'व'	427	0.0000	1
5	2485	'न'	427	0.0000	1
6	1658	'ा'	420	0.0000	1
7	3053	'स'	400	0.0000	1
8	5000	'र'	388	0.0000	1
9	4894	'द'	365	0.0000	1
10	2823	'त'	343	0.0000	1
11	1803	'े'	326	0.0000	1
12	2063	'ी'	325	0.0000	1
13	3113	'ु'	319	0.0000	1
14	3086	'ह'	308	0.0000	1
15	3372	'ल'	294	0.0000	1
16	2378	'ो'	293	0.0000	1
17	4148	'न'	292	0.0000	1
18	4486	'प'	285	0.0000	1
19	5256	'य'	272	0.0000	1
20	3040	'म'	267	0.0000	1
