rank	token_id	decoded	count	mass_pct	popcount
1	2207	'ი'	150	0.0000	1
2	7375	'რ'	105	0.0000	1
3	2115	'ა'	97	0.0000	1
4	2567	'ე'	94	0.0000	1
5	3402	'ო'	88	0.0000	1
6	4535	'ის'	74	0.0000	1
7	7441	'ვ'	70	0.0000	1
8	8280	'ს'	67	0.0000	1
9	27856	'ელი'	63	0.0000	1
10	77908	'საკ'	55	0.0000	1
11	10102	'მ'	54	0.0000	1
12	70074	'ებულ'	52	0.0000	1
13	9256	'დ'	49	0.0000	1
14	9861	'გ'	48	0.0000	1
15	6295	'მ'	42	0.0000	1
16	16776	'თ'	42	0.0000	1
17	19818	'ოს'	41	0.0000	1
18	14375	'ხ'	39	0.0000	1
19	34423	'ილი'	38	0.0000	1
20	16516	'გ'	38	0.0000	1
