rank	token_id	decoded	count	mass_pct	popcount
1	3242	'α'	5000	0.0005	2
2	1713	'α'	4170	0.0004	2
3	8850	'β'	4099	0.0004	2
4	5467	'β'	2942	0.0003	2
5	52005	'\xa0μ'	1982	0.0002	2
6	3735	'μ'	1652	0.0002	2
7	3241	'σ'	1525	0.0002	2
8	3828	'ε'	1494	0.0001	2
9	1838	'ν'	1491	0.0001	2
10	2594	'μ'	1422	0.0001	2
11	14436	'λ'	1370	0.0001	2
12	2162	'ς'	1333	0.0001	2
13	6950	'γ'	1328	0.0001	2
14	15338	'Δ'	1288	0.0001	2
15	5288	'δ'	1267	0.0001	2
16	3375	'γ'	1237	0.0001	2
17	3327	'π'	1224	0.0001	2
18	4075	'δ'	1175	0.0001	2
19	2172	'π'	1120	0.0001	2
20	2433	'λ'	1103	0.0001	2
