rank	token_id	decoded	count	mass_pct	popcount
1	6527	'્'	112	0.0000	1
2	32536	'ન'	51	0.0000	1
3	9544	'ર'	43	0.0000	1
4	33754	'ર'	37	0.0000	1
5	8330	'ી'	23	0.0000	1
6	42050	'દ'	22	0.0000	1
7	4718	'ા'	19	0.0000	1
8	23929	'વ'	19	0.0000	1
9	60723	'ડ'	14	0.0000	1
10	38389	'હ'	13	0.0000	1
11	30556	'મ'	13	0.0000	1
12	76522	'શ'	12	0.0000	1
13	88964	'ધ'	12	0.0000	1
14	6110	'ે'	12	0.0000	1
15	45457	'ગ'	11	0.0000	1
16	16959	'સ'	10	0.0000	1
17	17023	'ક'	10	0.0000	1
18	17139	'વ'	10	0.0000	1
19	64062	'ભ'	9	0.0000	1
20	28071	'મ'	9	0.0000	1
