rank	token_id	decoded	count	mass_pct	popcount
1	10292	'ਰ'	85	0.0000	1
2	9466	'ੀ'	75	0.0000	1
3	6458	'ਾ'	73	0.0000	1
4	16683	'ਸ'	66	0.0000	1
5	22450	'ੁ'	64	0.0000	1
6	10324	'ੇ'	61	0.0000	1
7	18620	'ਸ'	51	0.0000	1
8	21431	'ਕ'	46	0.0000	1
9	18261	'ੋ'	43	0.0000	1
10	16524	'ਨ'	41	0.0000	1
11	9482	'ਿ'	41	0.0000	1
12	24695	'ਹ'	40	0.0000	1
13	25780	'ਮ'	37	0.0000	1
14	23298	'ਲ'	37	0.0000	1
15	43306	'ਗ'	37	0.0000	1
16	14752	'ਤ'	36	0.0000	1
17	24716	'ੂ'	35	0.0000	1
18	27401	'ਜ'	33	0.0000	1
19	18914	'ਕ'	32	0.0000	1
20	94491	'ੁਰ'	29	0.0000	1
