rank	token_id	decoded	count	mass_pct	popcount
1	57472	'学校'	5457	0.0005	3
2	10684	'小'	4537	0.0005	3
3	4392	'中'	3533	0.0004	3
4	5368	'大'	2894	0.0003	3
5	2439	'の'	2772	0.0003	1
6	25776	'王'	2592	0.0003	3
7	18680	'山'	2285	0.0002	3
8	8390	'子'	2154	0.0002	3
9	4875	'道'	1527	0.0002	3
10	34128	'村'	1488	0.0001	3
11	16770	'田'	1484	0.0001	3
12	20709	'南'	1483	0.0001	3
13	6434	'天'	1373	0.0001	3
14	3405	'人'	1312	0.0001	3
15	94676	'氏'	1310	0.0001	3
16	45674	'李'	1244	0.0001	3
17	13506	'西'	1231	0.0001	3
18	3087	'一'	1199	0.0001	3
19	8672	'三'	1170	0.0001	3
20	11449	'文'	1142	0.0001	3
