rank	token_id	decoded	count	mass_pct	popcount
1	13011	'산'	803	0.0001	1
2	1856	'이'	636	0.0001	1
3	2746	'리'	633	0.0001	1
4	5001	'사'	548	0.0001	1
5	37821	'씨'	532	0.0001	1
6	4633	'대'	474	0.0000	1
7	2185	'의'	430	0.0000	1
8	7864	'동'	391	0.0000	1
9	6696	'주'	369	0.0000	1
10	2962	'도'	357	0.0000	1
11	3759	'인'	355	0.0000	1
12	6966	'수'	351	0.0000	1
13	5410	'정'	350	0.0000	1
14	5473	'부'	339	0.0000	1
15	3042	'기'	324	0.0000	1
16	7961	'원'	322	0.0000	1
17	6462	'성'	310	0.0000	1
18	6737	'문'	296	0.0000	1
19	2369	'지'	280	0.0000	1
20	6430	'국'	275	0.0000	1
