rank	token_id	decoded	count	mass_pct	popcount
1	3922	'א'	770	0.0001	1
2	1767	'י'	716	0.0001	1
3	2627	'ל'	701	0.0001	1
4	97014	'ּ'	684	0.0001	1
5	104880	'ָ'	620	0.0001	1
6	2461	'ר'	613	0.0001	1
7	123945	'ַ'	583	0.0001	1
8	3105	'ה'	572	0.0001	1
9	6008	'ע'	569	0.0001	1
10	4580	'ש'	527	0.0001	1
11	3393	'ת'	474	0.0000	1
12	3961	'א'	474	0.0000	1
13	128254	'ְ'	469	0.0000	1
14	1797	'ו'	455	0.0000	1
15	4611	'ד'	453	0.0000	1
16	4413	'ב'	432	0.0000	1
17	6461	'מ'	421	0.0000	1
18	4230	'נ'	371	0.0000	1
19	4897	'ח'	330	0.0000	1
20	9717	'ן'	318	0.0000	1
