rank	token_id	decoded	count	mass_pct	popcount
1	2700	'ಿ'	53	0.0000	1
2	3822	'ೆ'	53	0.0000	1
3	7175	'ಕ'	31	0.0000	1
4	3055	'ು'	30	0.0000	1
5	4099	'ರ'	30	0.0000	1
6	5081	'ನ'	26	0.0000	1
7	9934	'ಸ'	23	0.0000	1
8	4193	'ದ'	22	0.0000	1
9	6260	'ಳ'	21	0.0000	1
10	8609	'ಕ'	21	0.0000	1
11	8858	'ಡ'	19	0.0000	1
12	9338	'ಪ'	18	0.0000	1
13	12952	'ೋ'	18	0.0000	1
14	11163	'ಮ'	18	0.0000	1
15	16370	'ಹ'	17	0.0000	1
16	10918	'ನ'	16	0.0000	1
17	2299	'್'	16	0.0000	1
18	16485	'ಪ'	16	0.0000	1
19	5260	'ಲ'	16	0.0000	1
20	22023	'ಶ'	16	0.0000	1
