rank	token_id	decoded	count	mass_pct	popcount
1	1278	'the'	38763713	3.8558	28
2	1307	'of'	22416047	2.2297	28
3	1321	'and'	18681310	1.8582	28
4	1294	'in'	15929235	1.5845	28
5	1317	'to'	12950594	1.2882	28
6	1261	'a'	12352702	1.2287	28
7	1486	'was'	7545553	0.7506	27
8	1395	'is'	5534061	0.5505	28
9	1394	'for'	5203969	0.5176	28
10	1435	'as'	5160589	0.5133	28
11	1408	'on'	4728186	0.4703	28
12	1536	'by'	4534412	0.4510	28
13	1454	'with'	4420994	0.4398	27
14	1531	'The'	4276590	0.4254	28
15	1681	"'s"	4176633	0.4155	28
16	1455	'that'	3608567	0.3589	28
17	1562	'from'	3249223	0.3232	28
18	1513	'at'	3168341	0.3152	28
19	1794	'his'	2729176	0.2715	28
20	1420	'an'	2341222	0.2329	28
