rank	token_id	decoded	count	mass_pct	popcount
1	2387	'്'	222	0.0000	1
2	9684	'ം'	99	0.0000	1
3	14836	'ന'	94	0.0000	1
4	3340	'ി'	88	0.0000	1
5	15058	'ക'	82	0.0000	1
6	11392	'വ'	75	0.0000	1
7	9494	'ര'	64	0.0000	1
8	10498	'പ'	61	0.0000	1
9	15307	'ല'	61	0.0000	1
10	14607	'മ'	58	0.0000	1
11	14328	'പ'	57	0.0000	1
12	6886	'ത'	52	0.0000	1
13	11209	'മ'	48	0.0000	1
14	13385	'സ'	46	0.0000	1
15	12072	'ക'	46	0.0000	1
16	9539	'യ'	44	0.0000	1
17	6678	'െ'	36	0.0000	1
18	17801	'ൂ'	35	0.0000	1
19	42645	'ശ'	34	0.0000	1
20	11002	'േ'	31	0.0000	1
