rank	token_id	decoded	count	mass_pct	popcount
1	3775	'်'	140	0.0000	1
2	18511	'တ'	117	0.0000	1
3	15442	'က'	117	0.0000	1
4	40239	'လ'	105	0.0000	1
5	15712	'န'	96	0.0000	1
6	26253	'ရ'	93	0.0000	1
7	44240	'မ'	91	0.0000	1
8	24399	'ပ'	83	0.0000	1
9	14814	'ွ'	72	0.0000	1
10	21216	'ီ'	72	0.0000	1
11	5982	'ာ'	70	0.0000	1
12	7512	'ိ'	68	0.0000	1
13	17309	'စ'	57	0.0000	1
14	37116	'ဲ့'	53	0.0000	1
15	19731	'ျ'	49	0.0000	1
16	15486	'ှ'	47	0.0000	1
17	30449	'င်'	45	0.0000	1
18	31712	'ါ'	44	0.0000	1
19	26232	'ဲ'	44	0.0000	1
20	25781	'ည'	44	0.0000	1
