rank	token_id	decoded	count	mass_pct	popcount
1	6606	'க'	123	0.0000	1
2	12337	'ம்'	115	0.0000	1
3	2769	'ி'	110	0.0000	1
4	4780	'ை'	96	0.0000	1
5	1930	'்'	79	0.0000	1
6	8034	'ப'	79	0.0000	1
7	6739	'ல'	75	0.0000	1
8	10116	'ம'	74	0.0000	1
9	4911	'த'	72	0.0000	1
10	2743	'ு'	66	0.0000	1
11	13773	'ர்'	65	0.0000	1
12	8127	'வ'	63	0.0000	1
13	9318	'ச'	62	0.0000	1
14	4411	'ர'	62	0.0000	1
15	7179	'க'	58	0.0000	1
16	14430	'ச'	56	0.0000	1
17	7174	'ம'	54	0.0000	1
18	19512	'ன்'	53	0.0000	1
19	6393	'ப'	51	0.0000	1
20	9838	'ே'	48	0.0000	1
