rank	token_id	decoded	count	mass_pct	popcount
1	2211	'ి'	76	0.0000	1
2	2404	'ు'	54	0.0000	1
3	3350	'ర'	46	0.0000	1
4	5894	'మ'	43	0.0000	1
5	7031	'వ'	37	0.0000	1
6	9506	'ప'	36	0.0000	1
7	6241	'ల'	35	0.0000	1
8	4401	'న'	34	0.0000	1
9	7279	'త'	33	0.0000	1
10	7140	'ద'	31	0.0000	1
11	6115	'స'	31	0.0000	1
12	4809	'క'	31	0.0000	1
13	10859	'గ'	29	0.0000	1
14	5008	'స'	27	0.0000	1
15	5027	'ే'	27	0.0000	1
16	8124	'మ'	26	0.0000	1
17	2441	'ం'	26	0.0000	1
18	4130	'్ర'	26	0.0000	1
19	3776	'ో'	24	0.0000	1
20	5028	'క'	24	0.0000	1
