rank	token_id	decoded	count	mass_pct	popcount
1	4026	'ร'	719	0.0001	1
2	3704	'น'	634	0.0001	1
3	8541	'บ'	489	0.0000	1
4	8335	'ส'	486	0.0000	1
5	5741	'ม'	464	0.0000	1
6	7471	'ต'	420	0.0000	1
7	6399	'ล'	395	0.0000	1
8	5354	'ก'	382	0.0000	1
9	4779	'อ'	371	0.0000	1
10	5468	'ิ'	347	0.0000	1
11	9397	'ุ'	333	0.0000	1
12	13119	'พ'	333	0.0000	1
13	6744	'ย'	313	0.0000	1
14	7425	'ด'	313	0.0000	1
15	7681	'ท'	301	0.0000	1
16	3262	'า'	296	0.0000	1
17	12809	'ช'	273	0.0000	1
18	6457	'้'	272	0.0000	1
19	5490	'ง'	268	0.0000	1
20	25703	'ัก'	259	0.0000	1
