rank	token_id	decoded	count	mass_pct	popcount
1	16096	'ō'	90044	0.0090	0
2	97092	'Ō'	9794	0.0010	0
3	101282	'Kō'	5932	0.0006	0
4	103414	'Shō'	5446	0.0005	0
5	123032	'Tō'	4610	0.0005	0
6	12786	'ŭ'	1207	0.0001	0
7	36937	'μm'	1152	0.0001	0
8	39517	'μg'	280	0.0000	0
9	122838	'\xa0μg'	204	0.0000	0
10	14732	'ĝ'	169	0.0000	0
11	6017	'ә'	125	0.0000	0
12	70746	'Aβ'	91	0.0000	0
13	5853	'ў'	80	0.0000	0
14	8733	'ң'	60	0.0000	0
15	39636	'Ӏ'	56	0.0000	0
16	7340	'ө'	49	0.0000	0
17	12277	'ې'	47	0.0000	0
18	119064	'ڤ'	47	0.0000	0
19	38007	'ĉ'	46	0.0000	0
20	6877	'ү'	45	0.0000	0
