rank	token_id	decoded	count	mass_pct	popcount
1	1044	','	38511347	3.8307	55
2	1032	''	26039657	2.5902	55
3	1049	'1'	21120500	2.1009	55
4	1046	'.'	20821847	2.0712	55
5	1048	'0'	16084909	1.6000	55
6	1050	'2'	14136187	1.4061	55
7	1057	'9'	12423393	1.2358	55
8	1010	'\n'	9317132	0.9268	55
9	1319	'('	7931692	0.7890	55
10	1338	'.\n\n'	7169837	0.7132	55
11	1056	'8'	6422554	0.6389	55
12	1051	'3'	5561481	0.5532	55
13	1053	'5'	5231192	0.5203	55
14	1055	'7'	5014706	0.4988	55
15	1052	'4'	5009784	0.4983	55
16	1054	'6'	4927630	0.4902	55
17	1429	'"'	3076864	0.3061	55
18	1041	')'	3003906	0.2988	55
19	1267	'\n\n'	2906941	0.2892	55
20	1058	':'	2153543	0.2142	55
