rank	token_id	decoded	count	share_pct	status	compat_popcount	signature
1	16096	'ō'	90044	0.0090	no_in_scope_chars	0	(none)
2	1337	'é'	80443	0.0080	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
3	4547	'ā'	55334	0.0055	text	1	lv
4	1502	'á'	40206	0.0040	text	8	cs,es,hu,nl,pt,vi,sk,is
5	1529	'í'	36698	0.0037	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
6	10095	'ū'	32872	0.0033	text	2	lt,lv
7	2855	'án'	32046	0.0032	text	8	cs,es,hu,nl,pt,vi,sk,is
8	3723	'ć'	28521	0.0028	text	4	pl,sr-Latn,sl,hr
9	1506	'ó'	26500	0.0026	text	11	cs,es,hu,nl,pl,pt,vi,nb,sk,ca,is
10	20512	'ović'	26062	0.0026	text	4	pl,sr-Latn,sl,hr
11	3975	'ón'	25184	0.0025	text	11	cs,es,hu,nl,pl,pt,vi,nb,sk,ca,is
12	11333	'José'	25126	0.0025	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
13	2381	'š'	23334	0.0023	text	9	cs,sr-Latn,fi,sl,hr,sk,et,lt,lv
14	4093	'ø'	22152	0.0022	text	2	da,nb
15	1792	'ö'	22054	0.0022	text	9	de,hu,nl,sv,tr,az,fi,et,is
16	7701	'ī'	21845	0.0022	text	1	lv
17	5509	'ín'	19785	0.0020	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
18	2458	'ă'	18901	0.0019	text	2	vi,ro
19	1671	'ü'	18370	0.0018	text	9	de,es,fr,hu,nl,tr,az,et,ca
20	19288	'São'	18289	0.0018	text	2	pt,vi
21	1654	'ä'	18160	0.0018	text	6	de,nl,sv,fi,sk,et
22	2747	'én'	16391	0.0016	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
23	2411	'ú'	16036	0.0016	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
24	1924	'és'	15789	0.0016	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
25	2267	'ée'	15607	0.0016	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
26	2514	'č'	15582	0.0015	text	7	cs,sr-Latn,sl,hr,sk,lt,lv
27	4220	'ș'	14420	0.0014	text	1	ro
28	28136	'née'	14205	0.0014	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
