popcount	tokens	mass	mass_pct	meaning
0	1462	741403	0.07374743693133076	(no in-scope language admits any char)
1	12312	732562	0.07286802170113896	exactly one locale admits — language-distinctive
2	4040	475912	0.04733901832723024	""
3	5789	360305	0.03583957748153586	""
4	564	280150	0.02786655092616608	""
5	4599	241661	0.02403804591600293	""
6	496	110632	0.01100457705537607	""
7	237	93266	0.009277179149312175	""
8	613	308774	0.030713783314924168	""
9	1497	712703	0.07089264481431856	""
11	567	197662	0.019661460607416883	""
13	1895	644139	0.064072576287809	""
17	1	60	5.968206516401802e-6	""
27	5643	60312545	5.9992954014962825	Latin minus one locale (often Turkish / Polish)
28	68665	694358757	69.06794097080092	all 28 Latin-script locales admit — pan-Latin
55	2706	245756611	24.445436786983713	every locale admits — substrate (punct/digit/ws)
