family	vocab_total	fired	mass	mass_pct
family:Latn	88240	85332	851108565	84.62117205548806
substrate	4017	2843	153498172	15.261502183349428
unknown_standalone	2435	1026	510829	0.05078899505603367
family:Han	5102	4261	249744	0.02483071004440639
family:Cyrl	7548	6381	173064	0.017206827804172063
family:Arab	9341	5673	100840	0.010025981808884058
family:Grek	1500	1320	58490	0.005815347838175611
family:Hang	4439	3088	44187	0.004393277054632685
family:Hebr	961	835	18076	0.0017971999918424061
no_script_admits	232	111	9495	0.0009440370614374667
family:Deva	1529	893	6402	0.0006365166158317705
family:Thai	560	428	4995	0.0004966261318462502
family:Taml	525	308	1124	0.00011175330774678384
family:Geor	480	195	728	0.00007238114594275679
family:Mlym	377	150	560	0.00005567780457135138
family:Armn	1089	193	500	0.00004971232551013516
family:Guru	148	90	300	0.000029827395306081096
family:Beng	810	123	249	0.000024756738104047308
family:Telu	900	94	140	0.000013919451142837845
mixed_scripts	1	1	119	0.000011831533471412167
family:Gujr	180	24	74	7.357424175500004e-6
family:Knda	548	48	72	7.158574873459463e-6
family:Mymr	110	24	59	5.866054410195948e-6
