rank	token_id	decoded	count	mass_pct	popcount
1	2739	'َ'	4228	0.0004	1
2	4385	'ِ'	3368	0.0003	1
3	7213	'ْ'	2398	0.0002	1
4	3404	'ُ'	2244	0.0002	1
5	11324	'َّ'	1836	0.0002	1
6	25064	'وَ'	1125	0.0001	1
7	25326	'َا'	788	0.0001	1
8	27576	'هُ'	751	0.0001	1
9	1303	'ل'	743	0.0001	3
10	15262	'َل'	703	0.0001	1
11	1422	'ه'	702	0.0001	2
12	1516	'و'	674	0.0001	3
13	1708	'ح'	672	0.0001	3
14	2099	'أ'	665	0.0001	2
15	1508	'ب'	658	0.0001	3
16	25807	'ِي'	657	0.0001	1
17	1371	'م'	633	0.0001	3
18	1559	'ك'	616	0.0001	1
19	1527	'س'	609	0.0001	3
20	1530	'ع'	588	0.0001	3
