rank	token_id	decoded	count	mass_pct	popcount
1	65057	'Հայ'	14	0.0000	1
2	2051	'ի'	12	0.0000	1
3	24909	'յան'	8	0.0000	1
4	26160	'ոց'	7	0.0000	1
5	114990	'աստան'	7	0.0000	1
6	19315	'իր'	7	0.0000	1
7	3789	'եր'	7	0.0000	1
8	4703	'ար'	7	0.0000	1
9	17184	'Մ'	7	0.0000	1
10	11138	'Ա'	7	0.0000	1
11	7216	'ս'	6	0.0000	1
12	11741	'ահ'	6	0.0000	1
13	13670	'չ'	6	0.0000	1
14	6942	'կ'	6	0.0000	1
15	4198	'հ'	6	0.0000	1
16	2286	'ւ'	6	0.0000	1
17	1852	'ր'	6	0.0000	1
18	5924	'ուն'	6	0.0000	1
19	39565	'Հ'	5	0.0000	1
20	10772	'ության'	5	0.0000	1
