rank	token_id	decoded	count	mass_pct	popcount
1	2067	'া'	18	0.0000	1
2	6602	'ী'	9	0.0000	1
3	5844	'ব'	7	0.0000	1
4	4086	'ন'	6	0.0000	1
5	2167	'র'	5	0.0000	1
6	9428	'দ'	5	0.0000	1
7	104802	'বাংলাদেশ'	5	0.0000	1
8	5542	'ল'	5	0.0000	1
9	28193	'এ'	5	0.0000	1
10	7833	'হ'	5	0.0000	1
11	6700	'ান'	4	0.0000	1
12	9979	'িত'	4	0.0000	1
13	20090	'েশ'	4	0.0000	1
14	41276	'ত্ত'	4	0.0000	1
15	5031	'ক'	4	0.0000	1
16	60664	'ৃষ'	4	0.0000	1
17	76961	'বাংল'	4	0.0000	1
18	48853	'প্র'	3	0.0000	1
19	15761	'জ'	3	0.0000	1
20	67727	'ন্ত্র'	3	0.0000	1
