rank	token_id	decoded	count	mass_pct	popcount
1	13566	'Г'	9790	0.0010	5
2	1334	'е'	2079	0.0002	5
3	1668	'в'	2048	0.0002	5
4	1756	'и'	1829	0.0002	5
5	1538	'д'	1459	0.0001	5
6	2492	'ј'	1178	0.0001	2
7	1902	'на'	1171	0.0001	5
8	4923	'Г'	1038	0.0001	5
9	1712	'ь'	979	0.0001	3
10	1570	'я'	962	0.0001	3
11	2463	'ка'	922	0.0001	5
12	5111	'С'	870	0.0001	5
13	1614	'с'	869	0.0001	5
14	1315	'а'	828	0.0001	5
15	1753	'і'	820	0.0001	1
16	2843	'не'	802	0.0001	5
17	1361	'т'	747	0.0001	5
18	3103	'ть'	744	0.0001	3
19	1511	'в'	737	0.0001	5
20	1323	'о'	734	0.0001	5
