rank	token_id	decoded	count	mass_pct	popcount
1	2485	'न'	98	0.0000	1
2	3053	'स'	93	0.0000	1
3	3525	'म'	90	0.0000	1
4	1820	'र'	87	0.0000	1
5	1891	'्'	86	0.0000	1
6	4306	'के'	78	0.0000	1
7	2622	'क'	72	0.0000	1
8	4148	'न'	66	0.0000	1
9	2823	'त'	65	0.0000	1
10	2063	'ी'	61	0.0000	1
11	4332	'्य'	59	0.0000	1
12	2773	'स'	58	0.0000	1
13	5256	'य'	54	0.0000	1
14	4894	'द'	54	0.0000	1
15	5210	'में'	51	0.0000	1
16	9613	'श'	51	0.0000	1
17	3806	'्र'	50	0.0000	1
18	3372	'ल'	50	0.0000	1
19	7123	'ज'	49	0.0000	1
20	4658	'व'	49	0.0000	1
