rank	token_id	decoded	count	mass_pct	popcount
1	2207	'ი'	23	0.0000	1
2	4535	'ის'	23	0.0000	1
3	6295	'მ'	21	0.0000	1
4	13631	'ომ'	20	0.0000	1
5	2115	'ა'	19	0.0000	1
6	8280	'ს'	15	0.0000	1
7	7441	'ვ'	14	0.0000	1
8	9861	'გ'	13	0.0000	1
9	3402	'ო'	12	0.0000	1
10	22833	'ბ'	12	0.0000	1
11	10102	'მ'	10	0.0000	1
12	7993	'ს'	10	0.0000	1
13	22897	'ული'	10	0.0000	1
14	9256	'დ'	10	0.0000	1
15	16516	'გ'	10	0.0000	1
16	23744	'იც'	9	0.0000	1
17	7375	'რ'	9	0.0000	1
18	11253	'ნ'	9	0.0000	1
19	20359	'ბ'	9	0.0000	1
20	10961	'ტ'	9	0.0000	1
