rank	token_id	decoded	count	mass_pct	popcount
1	3242	'α'	2269	0.0002	2
2	5467	'β'	1948	0.0002	2
3	8850	'β'	1804	0.0002	2
4	1713	'α'	1499	0.0001	2
5	1838	'ν'	1278	0.0001	2
6	3735	'μ'	893	0.0001	2
7	2162	'ς'	884	0.0001	2
8	2172	'π'	761	0.0001	2
9	3327	'π'	689	0.0001	2
10	3241	'σ'	689	0.0001	2
11	2594	'μ'	687	0.0001	2
12	15338	'Δ'	680	0.0001	2
13	1903	'ε'	665	0.0001	2
14	6950	'γ'	649	0.0001	2
15	2004	'σ'	612	0.0001	2
16	3828	'ε'	565	0.0001	2
17	2298	'τ'	540	0.0001	2
18	102830	'Ω'	474	0.0000	2
19	1976	'ρ'	462	0.0000	2
20	13565	'φ'	448	0.0000	2
