rank	token_id	decoded	count	mass_pct	popcount
1	19541	'્ર'	12	0.0000	1
2	9544	'ર'	6	0.0000	1
3	32610	'બ'	4	0.0000	1
4	14700	'ત'	4	0.0000	1
5	15234	'ુ'	4	0.0000	1
6	26849	'હ'	4	0.0000	1
7	76522	'શ'	4	0.0000	1
8	36099	'માં'	4	0.0000	1
9	74010	'ાસ'	4	0.0000	1
10	42949	'િક'	4	0.0000	1
11	50081	'્ત'	4	0.0000	1
12	64062	'ભ'	3	0.0000	1
13	65143	'ફ'	3	0.0000	1
14	54795	'ગ'	2	0.0000	1
15	8330	'ી'	2	0.0000	1
16	73610	'ાત'	2	0.0000	1
17	80816	'ફ'	1	0.0000	1
18	74994	'ેર'	1	0.0000	1
19	38389	'હ'	1	0.0000	1
20	33754	'ર'	1	0.0000	1
