rank	token_id	decoded	count	mass_pct	popcount
1	10292	'ਰ'	15	0.0000	1
2	16683	'ਸ'	13	0.0000	1
3	9466	'ੀ'	12	0.0000	1
4	22450	'ੁ'	11	0.0000	1
5	10324	'ੇ'	10	0.0000	1
6	25780	'ਮ'	9	0.0000	1
7	16524	'ਨ'	9	0.0000	1
8	21431	'ਕ'	8	0.0000	1
9	43306	'ਗ'	8	0.0000	1
10	42177	'੍ਰ'	8	0.0000	1
11	23298	'ਲ'	7	0.0000	1
12	94491	'ੁਰ'	6	0.0000	1
13	24716	'ੂ'	6	0.0000	1
14	34247	'੍'	6	0.0000	1
15	36168	'ਵ'	6	0.0000	1
16	18620	'ਸ'	6	0.0000	1
17	18261	'ੋ'	6	0.0000	1
18	6458	'ਾ'	5	0.0000	1
19	97614	'ਭ'	5	0.0000	1
20	28736	'ਾਰ'	5	0.0000	1
