rank	token_id	decoded	count	mass_pct	popcount
1	2439	'の'	7046	0.0007	1
2	4187	'を'	5369	0.0005	1
3	2713	'的'	3587	0.0004	3
4	2650	'に'	3584	0.0004	1
5	2312	'は'	2561	0.0003	1
6	3322	'が'	2318	0.0002	1
7	11780	'する'	1713	0.0002	1
8	16560	'ます'	1477	0.0001	1
9	2701	'で'	1468	0.0001	1
10	4711	'ア'	1391	0.0001	1
11	43448	'します'	1284	0.0001	1
12	2407	'と'	1212	0.0001	1
13	5013	'して'	1179	0.0001	1
14	3938	'ス'	985	0.0001	1
15	4799	'リ'	980	0.0001	1
16	2768	'な'	964	0.0001	1
17	2998	'在'	892	0.0001	3
18	2393	'い'	810	0.0001	1
19	3405	'人'	780	0.0001	3
20	5862	'成'	780	0.0001	3
