rank	token_id	decoded	count	mass_pct	popcount
1	2185	'의'	678	0.0001	1
2	1856	'이'	627	0.0001	1
3	1962	'을'	563	0.0001	1
4	1969	'에'	560	0.0001	1
5	2532	'를'	368	0.0000	1
6	2435	'은'	324	0.0000	1
7	4406	'스'	314	0.0000	1
8	2303	'로'	305	0.0000	1
9	37654	'합니다'	297	0.0000	1
10	3874	'에서'	282	0.0000	1
11	2106	'하'	280	0.0000	1
12	2385	'가'	261	0.0000	1
13	3429	'라'	245	0.0000	1
14	1863	'는'	219	0.0000	1
15	2316	'한'	210	0.0000	1
16	4620	'과'	210	0.0000	1
17	3787	'수'	209	0.0000	1
18	2897	'어'	203	0.0000	1
19	2746	'리'	201	0.0000	1
20	32646	'션'	199	0.0000	1
