rank	token_id	decoded	count	mass_pct	popcount
1	97014	'ּ'	819	0.0001	1
2	104880	'ָ'	785	0.0001	1
3	128254	'ְ'	545	0.0001	1
4	123945	'ַ'	536	0.0001	1
5	1797	'ו'	445	0.0000	1
6	3105	'ה'	441	0.0000	1
7	2461	'ר'	431	0.0000	1
8	2627	'ל'	414	0.0000	1
9	3393	'ת'	360	0.0000	1
10	1767	'י'	354	0.0000	1
11	3922	'א'	322	0.0000	1
12	4580	'ש'	313	0.0000	1
13	3961	'א'	289	0.0000	1
14	4413	'ב'	284	0.0000	1
15	6008	'ע'	254	0.0000	1
16	4611	'ד'	253	0.0000	1
17	4230	'נ'	231	0.0000	1
18	6461	'מ'	222	0.0000	1
19	8859	'מ'	185	0.0000	1
20	5096	'ו'	184	0.0000	1
