rank	token_id	decoded	count	mass_pct	popcount
1	5260	'ಲ'	5	0.0000	1
2	2700	'ಿ'	4	0.0000	1
3	72736	'ಾಳ'	4	0.0000	1
4	53983	'ಮೇ'	4	0.0000	1
5	29533	'್ಮ'	4	0.0000	1
6	21866	'ೈ'	4	0.0000	1
7	7632	'್ರ'	3	0.0000	1
8	19923	'ದ'	3	0.0000	1
9	9618	'ನ್ನ'	2	0.0000	1
10	4193	'ದ'	1	0.0000	1
11	33523	'ೃ'	1	0.0000	1
12	34650	'ವಾಗಿ'	1	0.0000	1
13	36516	'ಹೊ'	1	0.0000	1
14	36882	'್ಚ'	1	0.0000	1
15	36928	'ಾತ'	1	0.0000	1
16	47389	'ಿಮ'	1	0.0000	1
17	47622	'ಡೆ'	1	0.0000	1
18	54065	'ಫ'	1	0.0000	1
19	32512	'ಿಲ'	1	0.0000	1
20	62454	'ಮ್ಮ'	1	0.0000	1
