rank	token_id	decoded	count	mass_pct	popcount
1	1728	'der'	15832409	1.5741	28
2	1828	'die'	15528985	1.5440	28
3	1673	'und'	15232146	1.5145	28
4	1294	'in'	8769377	0.8719	28
5	2829	'zu'	7159069	0.7118	28
6	2421	'von'	6371669	0.6335	28
7	2220	'den'	5880472	0.5847	28
8	3444	'ist'	5459959	0.5429	28
9	1262	'en'	5049693	0.5021	28
10	2635	'mit'	4901281	0.4873	28
11	2836	'das'	4807795	0.4780	28
12	2987	'auf'	4698056	0.4671	28
13	1563	'des'	4058862	0.4036	28
14	3736	'eine'	3935164	0.3913	28
15	2198	'ein'	3911472	0.3889	28
16	3320	'sich'	3823046	0.3801	28
17	3608	'für'	3764749	0.3743	9
18	6441	'Sie'	3640577	0.3620	28
19	4041	'nicht'	3600192	0.3579	28
20	2292	'dem'	3258760	0.3240	28
