rank	token_id	decoded	count	mass_pct	popcount
1	19063	'ിക്ക'	19	0.0000	1
2	9684	'ം'	19	0.0000	1
3	6678	'െ'	17	0.0000	1
4	10810	'ോ'	15	0.0000	1
5	13032	'സ'	15	0.0000	1
6	41457	'ഹ'	14	0.0000	1
7	15529	'ായ'	13	0.0000	1
8	2387	'്'	12	0.0000	1
9	15326	'ിയ'	12	0.0000	1
10	10498	'പ'	11	0.0000	1
11	15610	'ീ'	10	0.0000	1
12	13385	'സ'	10	0.0000	1
13	15058	'ക'	10	0.0000	1
14	14836	'ന'	9	0.0000	1
15	23427	'ആ'	9	0.0000	1
16	9494	'ര'	9	0.0000	1
17	16174	'ൻ'	8	0.0000	1
18	11002	'േ'	8	0.0000	1
19	11392	'വ'	8	0.0000	1
20	17801	'ൂ'	8	0.0000	1
