rank	token_id	decoded	count	mass_pct	popcount
1	40423	'လ'	6	0.0000	1
2	7512	'ိ'	5	0.0000	1
3	54510	'င်း'	5	0.0000	1
4	83408	'ပြ'	4	0.0000	1
5	73551	'န်'	4	0.0000	1
6	57306	'ေါ'	4	0.0000	1
7	37255	'ုံ'	4	0.0000	1
8	125320	'တ်'	4	0.0000	1
9	15417	'့'	4	0.0000	1
10	40239	'လ'	2	0.0000	1
11	15712	'န'	2	0.0000	1
12	68476	'ဝ'	2	0.0000	1
13	15442	'က'	2	0.0000	1
14	37116	'ဲ့'	1	0.0000	1
15	33979	'ရ'	1	0.0000	1
16	105814	'ဉ'	1	0.0000	1
17	44977	'ောင'	1	0.0000	1
18	50867	'ထ'	1	0.0000	1
19	31712	'ါ'	1	0.0000	1
20	73761	'့်'	1	0.0000	1
