rank	token_id	decoded	count	mass_pct	popcount
1	4411	'ர'	26	0.0000	1
2	1930	'்'	22	0.0000	1
3	9838	'ே'	22	0.0000	1
4	8158	'ிய'	21	0.0000	1
5	2769	'ி'	21	0.0000	1
6	6606	'க'	18	0.0000	1
7	4911	'த'	16	0.0000	1
8	14430	'ச'	14	0.0000	1
9	8127	'வ'	13	0.0000	1
10	10283	'ண'	13	0.0000	1
11	6393	'ப'	13	0.0000	1
12	19512	'ன்'	13	0.0000	1
13	4780	'ை'	13	0.0000	1
14	13773	'ர்'	13	0.0000	1
15	8212	'ில'	12	0.0000	1
16	7179	'க'	12	0.0000	1
17	8034	'ப'	12	0.0000	1
18	2743	'ு'	12	0.0000	1
19	23573	'ிக்க'	11	0.0000	1
20	25833	'ார்'	11	0.0000	1
