rank	token_id	decoded	count	mass_pct	popcount
1	2040	'్'	4	0.0000	1
2	8914	'అ'	4	0.0000	1
3	13047	'చ'	4	0.0000	1
4	4809	'క'	4	0.0000	1
5	7279	'త'	4	0.0000	1
6	10859	'గ'	3	0.0000	1
7	7780	'ె'	3	0.0000	1
8	23471	'ిస'	3	0.0000	1
9	22993	'ుక'	3	0.0000	1
10	5028	'క'	3	0.0000	1
11	21290	'ష'	3	0.0000	1
12	7577	'డ'	2	0.0000	1
13	33400	'ఏ'	2	0.0000	1
14	11172	'బ'	2	0.0000	1
15	127934	'ుగు'	2	0.0000	1
16	39161	'ఈ'	2	0.0000	1
17	9063	'ర'	2	0.0000	1
18	25908	'్ష'	2	0.0000	1
19	8470	'ిక'	2	0.0000	1
20	29632	'హ'	2	0.0000	1
