rank	token_id	decoded	count	mass_pct	popcount
1	3704	'น'	103	0.0000	1
2	4779	'อ'	89	0.0000	1
3	8335	'ส'	83	0.0000	1
4	6744	'ย'	83	0.0000	1
5	5741	'ม'	78	0.0000	1
6	6851	'ว'	72	0.0000	1
7	8541	'บ'	70	0.0000	1
8	6399	'ล'	67	0.0000	1
9	4026	'ร'	67	0.0000	1
10	7681	'ท'	66	0.0000	1
11	7471	'ต'	65	0.0000	1
12	19258	'ใน'	64	0.0000	1
13	13119	'พ'	63	0.0000	1
14	19609	'การ'	60	0.0000	1
15	10954	'ค'	59	0.0000	1
16	12809	'ช'	57	0.0000	1
17	5468	'ิ'	53	0.0000	1
18	5354	'ก'	52	0.0000	1
19	17079	'ำ'	51	0.0000	1
20	7425	'ด'	51	0.0000	1
