rank	token_id	decoded	count	mass_pct	popcount
1	16096	'ō'	6137	0.0006	0
2	39517	'μg'	633	0.0001	0
3	97092	'Ō'	454	0.0000	0
4	36937	'μm'	391	0.0000	0
5	123032	'Tō'	389	0.0000	0
6	103414	'Shō'	386	0.0000	0
7	101282	'Kō'	307	0.0000	0
8	80552	'μl'	138	0.0000	0
9	12786	'ŭ'	118	0.0000	0
10	87013	'ﷺ'	76	0.0000	0
11	70746	'Aβ'	75	0.0000	0
12	5853	'ў'	24	0.0000	0
13	6905	'қ'	23	0.0000	0
14	38007	'ĉ'	22	0.0000	0
15	6017	'ә'	16	0.0000	0
16	7340	'ө'	16	0.0000	0
17	10186	'ғ'	14	0.0000	0
18	98478	'ĥ'	13	0.0000	0
19	11382	'ў'	12	0.0000	0
20	16550	'ұ'	12	0.0000	0
