rank	token_id	decoded	count	mass_pct	popcount
1	1044	','	35709518	3.5504	55
2	1046	'.'	23588152	2.3452	55
3	1032	''	10224864	1.0166	55
4	1626	'.\n'	8696430	0.8646	55
5	1049	'1'	7607544	0.7564	55
6	1048	'0'	7325512	0.7283	55
7	1050	'2'	5667471	0.5635	55
8	1010	'\n'	5146086	0.5116	55
9	1045	'-'	3967063	0.3944	55
10	1319	'('	3113794	0.3096	55
11	1057	'9'	3057095	0.3040	55
12	1058	':'	3008981	0.2992	55
13	1051	'3'	2719549	0.2704	55
14	1053	'5'	2561677	0.2547	55
15	1052	'4'	2289924	0.2277	55
16	1056	'8'	2059953	0.2048	55
17	1054	'6'	1899771	0.1889	55
18	1055	'7'	1802618	0.1792	55
19	1041	')'	1782802	0.1773	55
20	2990	'„'	1384551	0.1377	55
