rank	token_id	decoded	count_de	popcount
1	34419	'verwendet'	222777	27
2	48153	'handelt'	108289	28
3	84374	'Fällen'	86779	6
4	44950	'mindestens'	86699	28
5	98905	'möglicherweise'	86102	9
6	41027	'beispielsweise'	85323	27
7	63808	'durchgeführt'	83256	9
8	98176	'kosten'	79733	28
9	57691	'obwohl'	76192	27
10	56004	'Zeitpunkt'	71319	28
11	65452	'benöt'	69660	9
12	56300	'gleichzeitig'	68744	28
13	99670	'ziemlich'	62714	28
14	50129	'befinden'	60615	28
15	91323	'treffen'	59634	28
16	85450	'konzent'	59009	28
17	106779	'berücksicht'	58876	9
18	77012	'regelmäßig'	56803	1
19	72395	'hinzu'	54221	28
20	68115	'ähnlich'	53098	6
21	62359	'erfolgt'	53080	28
22	77609	'entweder'	52516	27
23	60843	'Während'	52458	6
24	98706	'ausreich'	52117	28
25	71205	'zumindest'	51275	28
26	68185	'beträgt'	50884	6
27	54096	'lediglich'	49217	28
28	58005	'wenige'	49008	27
29	89345	'verantwortlich'	48173	27
30	48484	'zudem'	48015	28
31	78687	'gezeigt'	47729	28
32	66222	'Allerdings'	47642	28
33	113665	'benötigt'	45913	9
34	78997	'Obwohl'	45460	27
35	58712	'sodass'	44098	28
36	55976	'licherweise'	43970	27
37	55385	'zust'	43781	28
38	109998	'Aktivitäten'	43122	6
39	107501	'zusätzliche'	42637	6
40	122108	'gewähr'	41786	6
41	72657	'entsprechend'	41651	28
42	50920	'umfasst'	41114	28
43	109915	'ständig'	40316	6
44	79979	'verfügt'	39621	9
45	63384	'zusätzlich'	39094	6
46	107010	'verletzt'	38906	28
47	67597	'hingegen'	38322	28
48	108458	'zufolge'	38321	28
49	97046	'durchschnitt'	38238	28
50	110031	'Deshalb'	37069	28
51	107934	'bewegen'	36249	27
52	94349	'angesehen'	36148	28
53	60964	'gewiesen'	36106	27
54	71541	'beein'	35698	28
55	90867	'angegeben'	35580	28
56	46889	'gewählt'	35424	6
57	56537	'wusste'	35201	27
58	110935	'möglichen'	34570	9
59	96449	'maßen'	34565	1
60	79363	'beteiligt'	34364	28
61	100781	'ungefähr'	34321	6
62	66697	'inzwischen'	34273	27
63	129421	'automatisch'	33922	28
64	94209	'entsprechenden'	33698	28
65	128557	'günst'	33305	9
66	89109	'Dadurch'	33267	28
67	89341	'getötet'	33256	9
68	105170	'unterschiedlich'	32928	28
69	54160	'versuchte'	32779	28
70	117359	'sprechen'	32421	28
71	53335	'legte'	32206	28
72	89933	'benutzt'	32190	28
73	87112	'einzelne'	32177	28
74	114083	'bevorzug'	30953	28
75	83683	'legten'	30788	28
76	120563	'ausdr'	30434	28
77	74105	'arbeitete'	30365	28
78	126592	'Bereichen'	30317	28
79	125504	'offensichtlich'	29410	28
80	98075	'produziert'	29247	28
81	107471	'entsprechende'	29190	28
82	117993	'grundsätzlich'	28460	6
83	112814	'verstanden'	28343	28
84	126433	'erfolgen'	28313	28
85	75635	'bekam'	28097	28
86	55524	'ersetzt'	27533	28
87	64738	'verhind'	27498	28
88	117533	'verurteilt'	27290	28
89	93561	'besitzen'	27120	28
90	119424	'starten'	26937	28
91	129588	'zuhalten'	26767	28
92	59787	'entwickelte'	26719	27
93	79526	'zunehmend'	26629	28
94	71874	'eingeführt'	26264	9
95	85288	'angeboten'	25976	28
96	100193	'definiert'	25758	28
97	40847	'erreichte'	25447	28
98	119603	'erzeugt'	25310	28
99	117835	'geöffnet'	25221	9
100	128658	'berichtete'	25215	28
101	47203	'folgte'	25149	28
102	54838	'atsächlich'	24711	6
103	101494	'weshalb'	24664	27
104	79477	'Angeb'	24657	28
105	68920	'übernommen'	24525	9
106	25328	'unächst'	24481	6
107	66627	'gespe'	24288	28
108	72981	'vorgesehen'	24248	28
109	99585	'Schließlich'	24216	1
110	122369	'eindeutig'	23656	28
111	124000	'darstellt'	23501	28
112	118019	'unterscheidet'	23480	28
113	67794	'Wettbew'	23243	27
114	81687	'gekennzeichnet'	22751	28
115	100620	'fertigt'	22741	28
116	115388	'festgelegt'	22696	28
117	66941	'erlaub'	22172	28
118	78752	'hörte'	22101	9
119	110904	'Gleichzeitig'	22041	28
120	74940	'gebildet'	21932	28
121	50245	'eingef'	21909	28
122	126892	'lautet'	21723	28
123	89354	'fühlte'	21592	9
124	43860	'unterstüt'	21492	9
125	80178	'größ'	20973	1
126	92427	'ausgeb'	20844	28
127	123673	'geringer'	20766	28
128	79726	'merksam'	20727	28
129	87746	'antwortete'	20630	27
130	128493	'gezwungen'	20408	27
131	96954	'ursprünglichen'	20326	9
132	71685	'verstär'	20255	6
133	77556	'nahmen'	20244	28
134	111006	'bestehenden'	20232	28
135	102781	'Veranstaltungen'	20126	28
136	92397	'offiziell'	20091	28
137	70753	'daraufhin'	19853	28
138	57231	'entschied'	19805	28
139	47972	'übernahm'	19786	9
140	122355	'befür'	19600	9
141	78816	'Metern'	19555	28
142	89693	'ausgesch'	19481	28
143	114479	'stattdessen'	19298	28
144	95202	'nahezu'	19051	28
145	123532	'erkenn'	18762	28
146	118731	'verabschied'	18683	28
147	106781	'zusammenge'	18488	28
148	122899	'gefol'	18409	28
149	83887	'meinte'	18393	28
150	100942	'forderte'	17875	28
151	91854	'Insgesamt'	17780	28
152	120519	'letztlich'	17707	28
153	103801	'sahen'	17686	28
154	106369	'Großteil'	17644	1
155	112685	'geblich'	17349	28
156	87445	'erheb'	17237	28
157	119415	'Anschließend'	17114	1
158	76534	'überwiegend'	16955	9
159	94328	'verab'	16731	28
160	102391	'nannte'	16708	28
161	114874	'hierbei'	16339	28
162	72718	'zentral'	16081	28
163	107057	'aufgeführt'	15920	9
164	95795	'entsche'	15811	28
165	125945	'besuchte'	15556	28
166	59925	'äuft'	15491	6
167	115131	'stellten'	15366	28
168	129214	'Zusätzlich'	15313	6
169	77833	'erhielten'	15213	28
170	116167	'Wesentlichen'	15110	27
171	102700	'zuständig'	14947	6
172	107978	'seitdem'	14716	28
173	126316	'vergröß'	14629	1
174	83224	'drehte'	14561	28
175	113062	'genannte'	14537	28
176	110244	'holte'	14447	28
177	77809	'folgten'	14319	28
178	128523	'entwickelten'	14099	27
179	125510	'bestehende'	14062	28
180	127384	'übergeben'	14053	9
181	98233	'handelte'	14025	28
182	107617	'beschloss'	13824	28
183	124322	'nachgewiesen'	13781	27
184	86971	'kehrte'	13582	28
185	122995	'verwendete'	13548	27
186	129505	'dauerte'	13539	28
187	125473	'infolge'	13315	28
188	130227	'Hierbei'	13273	28
189	85792	'endete'	13265	28
190	124640	'ursprüngliche'	13182	9
191	115550	'brachten'	13142	28
192	120894	'beauftrag'	13099	28
193	127818	'bemerkte'	13074	28
194	122787	'wuchs'	13067	27
195	98177	'besetzt'	13052	28
196	98201	'beschäd'	12924	6
197	111322	'Schultern'	12838	28
198	68097	'gehörten'	12745	9
199	23109	'erdings'	12718	28
200	93963	'bezeichnete'	12683	28
