cutoff_kind	param	tokens	cum_mass	pct_of_latin	pct_of_total
rank	10	10	90185060	10.5962	8.9666
rank	100	100	253200594	29.7495	25.1744
rank	500	500	416998740	48.9948	41.4600
rank	1000	1000	500857720	58.8477	49.7976
rank	2500	2500	625362856	73.4763	62.1765
rank	5000	5000	722712207	84.9142	71.8554
rank	10000	10000	801147433	94.1299	79.6538
rank	20000	20000	837129436	98.3575	83.2313
rank	50000	50000	850367675	99.9130	84.5475
rank	85332	85332	851108565	100.0000	84.6212
count	1	85332	851108565	100.0000	84.6212
count	5	78107	851091447	99.9980	84.6195
count	10	72126	851050538	99.9932	84.6154
count	100	46023	850037605	99.8742	84.5147
count	1000	23438	841334397	98.8516	83.6494
count	10000	9097	793039516	93.1772	78.8477
count	100000	1327	537681057	63.1742	53.4588
count	1000000	89	242710450	28.5170	24.1314
