rank	token_id	decoded	count	mass_pct	basis	popcount
1	1728	' der'	15832409	1.5741	bitmask_and_has_de_bit	28
2	1828	' die'	15528985	1.5440	bitmask_and_has_de_bit	28
3	1673	' und'	15232146	1.5145	bitmask_and_has_de_bit	28
4	1294	' in'	8769377	0.8719	bitmask_and_has_de_bit	28
5	2829	' zu'	7159069	0.7118	bitmask_and_has_de_bit	28
6	2421	' von'	6371669	0.6335	bitmask_and_has_de_bit	28
7	2220	' den'	5880472	0.5847	bitmask_and_has_de_bit	28
8	3444	' ist'	5459959	0.5429	bitmask_and_has_de_bit	28
9	1262	'en'	5049693	0.5021	bitmask_and_has_de_bit	28
10	2635	' mit'	4901281	0.4873	bitmask_and_has_de_bit	28
11	2836	' das'	4807795	0.4780	bitmask_and_has_de_bit	28
12	2987	' auf'	4698056	0.4671	bitmask_and_has_de_bit	28
13	1563	' des'	4058862	0.4036	bitmask_and_has_de_bit	28
14	3736	' eine'	3935164	0.3913	bitmask_and_has_de_bit	28
15	2198	' ein'	3911472	0.3889	bitmask_and_has_de_bit	28
16	3320	' sich'	3823046	0.3801	bitmask_and_has_de_bit	28
17	3608	' für'	3764749	0.3743	bitmask_and_has_de_bit	9
18	6441	' Sie'	3640577	0.3620	bitmask_and_has_de_bit	28
19	4041	' nicht'	3600192	0.3579	bitmask_and_has_de_bit	28
20	2292	' dem'	3258760	0.3240	bitmask_and_has_de_bit	28
21	1602	' im'	3243585	0.3225	bitmask_and_has_de_bit	28
22	1823	' es'	3120667	0.3103	bitmask_and_has_de_bit	28
23	1851	'ung'	3106759	0.3089	bitmask_and_has_de_bit	28
24	1420	' an'	2994049	0.2977	bitmask_and_has_de_bit	28
25	3303	' als'	2720902	0.2705	bitmask_and_has_de_bit	28
26	3858	' sie'	2713034	0.2697	bitmask_and_has_de_bit	28
27	1765	' er'	2710333	0.2695	bitmask_and_has_de_bit	28
28	5462	' dass'	2695885	0.2680	bitmask_and_has_de_bit	28
29	3558	' aus'	2533623	0.2519	bitmask_and_has_de_bit	28
30	5261	' werden'	2458160	0.2444	bitmask_and_has_de_bit	27
31	6183	' oder'	2403714	0.2390	bitmask_and_has_de_bit	28
32	4742	' auch'	2342270	0.2329	bitmask_and_has_de_bit	28
33	2869	' um'	2272748	0.2260	bitmask_and_has_de_bit	28
34	6287	' wird'	2102465	0.2090	bitmask_and_has_de_bit	27
35	5989	' sind'	2086495	0.2074	bitmask_and_has_de_bit	28
36	5259	' einer'	2010858	0.1999	bitmask_and_has_de_bit	28
37	3734	' Die'	1957943	0.1947	bitmask_and_has_de_bit	28
38	4710	' über'	1837367	0.1827	bitmask_and_has_de_bit	9
39	4345	' nach'	1837203	0.1827	bitmask_and_has_de_bit	28
40	5843	' wie'	1798829	0.1788	bitmask_and_has_de_bit	27
41	1258	'er'	1768156	0.1758	bitmask_and_has_de_bit	28
42	6071	' einen'	1725505	0.1716	bitmask_and_has_de_bit	28
43	4609	'ungen'	1712337	0.1702	bitmask_and_has_de_bit	28
44	5520	' bei'	1697313	0.1688	bitmask_and_has_de_bit	28
45	5846	' einem'	1662940	0.1653	bitmask_and_has_de_bit	28
46	4153	' hat'	1560325	0.1551	bitmask_and_has_de_bit	28
47	1264	'es'	1553528	0.1545	bitmask_and_has_de_bit	28
48	6299	' ich'	1546870	0.1538	bitmask_and_has_de_bit	28
49	2771	' war'	1507389	0.1499	bitmask_and_has_de_bit	27
50	1400	'te'	1475303	0.1467	bitmask_and_has_de_bit	28
51	1991	'ten'	1466784	0.1458	bitmask_and_has_de_bit	28
52	5215	' vor'	1460424	0.1452	bitmask_and_has_de_bit	28
53	1115	's'	1459449	0.1451	bitmask_and_has_de_bit	28
54	10248	' kann'	1449752	0.1441	bitmask_and_has_de_bit	28
55	1259	'in'	1447108	0.1439	bitmask_and_has_de_bit	28
56	3838	'igen'	1409552	0.1401	bitmask_and_has_de_bit	28
57	5212	' durch'	1407507	0.1399	bitmask_and_has_de_bit	28
58	1122	'z'	1401382	0.1393	bitmask_and_has_de_bit	28
59	3705	'ischen'	1394040	0.1386	bitmask_and_has_de_bit	28
60	2137	'ern'	1382414	0.1374	bitmask_and_has_de_bit	28
61	7390	'ungs'	1361096	0.1353	bitmask_and_has_de_bit	28
62	3958	' wurde'	1324438	0.1317	bitmask_and_has_de_bit	27
63	1314	'st'	1314363	0.1307	bitmask_and_has_de_bit	28
64	11419	' haben'	1304176	0.1297	bitmask_and_has_de_bit	28
65	13760	' können'	1279661	0.1272	bitmask_and_has_de_bit	9
66	10412	'ieren'	1271355	0.1264	bitmask_and_has_de_bit	28
67	1102	'f'	1261103	0.1254	bitmask_and_has_de_bit	28
68	6080	'Die'	1234288	0.1227	bitmask_and_has_de_bit	28
69	4349	'ische'	1228580	0.1222	bitmask_and_has_de_bit	28
70	7559	' aber'	1186267	0.1179	bitmask_and_has_de_bit	28
71	5755	'iert'	1178527	0.1172	bitmask_and_has_de_bit	28
72	1550	' K'	1176741	0.1170	bitmask_and_has_de_bit	28
73	1878	' so'	1167080	0.1160	bitmask_and_has_de_bit	28
74	5932	' zum'	1158988	0.1152	bitmask_and_has_de_bit	28
75	1855	' am'	1156187	0.1150	bitmask_and_has_de_bit	28
76	6941	' nur'	1154984	0.1148	bitmask_and_has_de_bit	28
77	1351	'ig'	1154367	0.1148	bitmask_and_has_de_bit	28
78	1647	'ens'	1127659	0.1121	bitmask_and_has_de_bit	28
79	4512	' sein'	1097283	0.1091	bitmask_and_has_de_bit	28
80	3832	'ige'	1091617	0.1085	bitmask_and_has_de_bit	28
81	5360	' zur'	1075552	0.1069	bitmask_and_has_de_bit	28
82	1116	't'	1075250	0.1069	bitmask_and_has_de_bit	28
83	3243	' Er'	1064204	0.1058	bitmask_and_has_de_bit	28
84	2019	' ver'	1035647	0.1030	bitmask_and_has_de_bit	28
85	6743	'lichen'	1032101	0.1026	bitmask_and_has_de_bit	28
86	7374	' noch'	1031472	0.1026	bitmask_and_has_de_bit	28
87	13313	' wenn'	1021420	0.1016	bitmask_and_has_de_bit	27
88	1997	'ien'	1017968	0.1012	bitmask_and_has_de_bit	28
89	1331	'ch'	1009376	0.1004	bitmask_and_has_de_bit	28
90	5995	' unter'	988386	0.0983	bitmask_and_has_de_bit	28
91	1107	'k'	987489	0.0982	bitmask_and_has_de_bit	28
92	1894	' man'	982748	0.0977	bitmask_and_has_de_bit	28
93	3005	' Sch'	966058	0.0960	bitmask_and_has_de_bit	28
94	6636	'enden'	963492	0.0958	bitmask_and_has_de_bit	28
95	7955	'liche'	959555	0.0954	bitmask_and_has_de_bit	28
96	2877	'lich'	952089	0.0947	bitmask_and_has_de_bit	28
97	12144	' wir'	948805	0.0943	bitmask_and_has_de_bit	27
98	6142	' Der'	937134	0.0932	bitmask_and_has_de_bit	28
99	3056	'sch'	902500	0.0897	bitmask_and_has_de_bit	28
100	1109	'm'	901888	0.0897	bitmask_and_has_de_bit	28
101	1119	'w'	892757	0.0888	bitmask_and_has_de_bit	27
102	4918	' bis'	867923	0.0863	bitmask_and_has_de_bit	28
103	1656	' In'	863383	0.0858	bitmask_and_has_de_bit	28
104	8292	' mehr'	859639	0.0855	bitmask_and_has_de_bit	28
105	8169	' Das'	854477	0.0850	bitmask_and_has_de_bit	28
106	1299	'el'	843336	0.0838	bitmask_and_has_de_bit	28
107	5504	' Es'	835211	0.0830	bitmask_and_has_de_bit	28
108	1386	'ie'	834839	0.0830	bitmask_and_has_de_bit	28
109	3649	' sch'	833297	0.0829	bitmask_and_has_de_bit	28
110	3963	'ende'	830827	0.0826	bitmask_and_has_de_bit	28
111	1398	' B'	830126	0.0825	bitmask_and_has_de_bit	28
112	1101	'e'	828092	0.0823	bitmask_and_has_de_bit	28
113	1439	' F'	822433	0.0818	bitmask_and_has_de_bit	28
114	2352	'be'	822111	0.0817	bitmask_and_has_de_bit	28
115	12048	' diese'	821049	0.0816	bitmask_and_has_de_bit	28
116	1715	' ab'	812011	0.0807	bitmask_and_has_de_bit	28
117	1474	'end'	808895	0.0804	bitmask_and_has_de_bit	28
118	1654	'ä'	802903	0.0798	bitmask_and_has_de_bit	6
119	1486	' was'	794318	0.0790	bitmask_and_has_de_bit	27
120	2682	'isch'	786059	0.0782	bitmask_and_has_de_bit	28
121	1552	'ik'	767139	0.0763	bitmask_and_has_de_bit	28
122	1098	'b'	763182	0.0759	bitmask_and_has_de_bit	28
123	1488	' W'	759276	0.0755	bitmask_and_has_de_bit	27
124	2163	' Z'	759270	0.0755	bitmask_and_has_de_bit	28
125	1304	'et'	753658	0.0749	bitmask_and_has_de_bit	28
126	6471	' Ein'	748871	0.0745	bitmask_and_has_de_bit	28
127	2048	' An'	747210	0.0743	bitmask_and_has_de_bit	28
128	1402	' be'	746300	0.0742	bitmask_and_has_de_bit	28
129	1104	'h'	740188	0.0736	bitmask_and_has_de_bit	28
130	5299	'chen'	739864	0.0736	bitmask_and_has_de_bit	28
131	10402	' eines'	729429	0.0725	bitmask_and_has_de_bit	28
