rank	token_id	decoded	count	mass_pct	basis	popcount
1	1044	','	35709518	3.5504	all_55_locales_admit	55
2	1046	'.'	23588152	2.3452	all_55_locales_admit	55
3	1032	' '	10224864	1.0166	all_55_locales_admit	55
4	1626	'.\n'	8696430	0.8646	all_55_locales_admit	55
5	1049	'1'	7607544	0.7564	all_55_locales_admit	55
6	1048	'0'	7325512	0.7283	all_55_locales_admit	55
7	1050	'2'	5667471	0.5635	all_55_locales_admit	55
8	1010	'\n'	5146086	0.5116	all_55_locales_admit	55
9	1045	'-'	3967063	0.3944	all_55_locales_admit	55
10	1319	' ('	3113794	0.3096	all_55_locales_admit	55
11	1057	'9'	3057095	0.3040	all_55_locales_admit	55
12	1058	':'	3008981	0.2992	all_55_locales_admit	55
13	1051	'3'	2719549	0.2704	all_55_locales_admit	55
14	1053	'5'	2561677	0.2547	all_55_locales_admit	55
15	1052	'4'	2289924	0.2277	all_55_locales_admit	55
16	1056	'8'	2059953	0.2048	all_55_locales_admit	55
17	1054	'6'	1899771	0.1889	all_55_locales_admit	55
18	1055	'7'	1802618	0.1792	all_55_locales_admit	55
19	1041	')'	1782802	0.1773	all_55_locales_admit	55
20	2990	' „'	1384551	0.1377	all_55_locales_admit	55
21	1429	' "'	1207765	0.1201	all_55_locales_admit	55
22	1462	' -'	1019069	0.1013	all_55_locales_admit	55
23	1482	'“'	864952	0.0860	all_55_locales_admit	55
24	1775	' –'	839274	0.0834	all_55_locales_admit	55
25	1034	'"'	820784	0.0816	all_55_locales_admit	55
26	1063	'?'	749846	0.0746	all_55_locales_admit	55
27	9551	'?\n'	722731	0.0719	all_55_locales_admit	55
28	1877	':\n'	678070	0.0674	all_55_locales_admit	55
29	1059	';'	551842	0.0549	all_55_locales_admit	55
30	1047	'/'	510040	0.0507	all_55_locales_admit	55
31	1574	'),'	402355	0.0400	all_55_locales_admit	55
32	1577	').'	358898	0.0357	all_55_locales_admit	55
33	1033	'!'	331765	0.0330	all_55_locales_admit	55
34	1456	')\n'	320396	0.0319	all_55_locales_admit	55
35	1124	'|'	313780	0.0312	all_55_locales_admit	55
36	30540	'||'	313545	0.0312	all_55_locales_admit	55
37	10829	'“,'	240206	0.0239	all_55_locales_admit	55
38	4342	').\n'	225860	0.0225	all_55_locales_admit	55
39	2129	' “'	225579	0.0224	all_55_locales_admit	55
40	1897	'",'	224357	0.0223	all_55_locales_admit	55
41	11330	'!\n'	212875	0.0212	all_55_locales_admit	55
42	1520	',\n'	212330	0.0211	all_55_locales_admit	55
43	12827	'.“'	201727	0.0201	all_55_locales_admit	55
44	23685	'|\n'	194562	0.0193	all_55_locales_admit	55
45	14466	'„'	191840	0.0191	all_55_locales_admit	55
46	3046	' »'	184924	0.0184	all_55_locales_admit	55
47	1093	']'	184605	0.0184	all_55_locales_admit	55
48	1365	';\n'	183094	0.0182	all_55_locales_admit	55
49	1987	' /'	173471	0.0172	all_55_locales_admit	55
50	1037	'%'	153440	0.0153	all_55_locales_admit	55
51	1091	'['	146018	0.0145	all_55_locales_admit	55
52	1766	' ['	138563	0.0138	all_55_locales_admit	55
53	1414	'”'	137712	0.0137	all_55_locales_admit	55
54	3897	' ,'	130853	0.0130	all_55_locales_admit	55
55	2820	']\n'	127102	0.0126	all_55_locales_admit	55
56	28021	' §'	125170	0.0124	all_55_locales_admit	55
57	2345	'://'	117183	0.0117	all_55_locales_admit	55
58	1748	' &'	116714	0.0116	all_55_locales_admit	55
