rank	token_id	decoded	count	mass_pct	basis	popcount
1	1337	'é'	29026	0.0029	non_de_latin_char	13
2	13566	'Г'	9790	0.0010	foreign_script	5
3	1755	' à'	9567	0.0010	non_de_latin_char	7
4	113972	'Ă'	9205	0.0009	non_de_latin_char	2
5	1924	'és'	8887	0.0009	non_de_latin_char	13
6	1502	'á'	8046	0.0008	non_de_latin_char	8
7	1529	'í'	7242	0.0007	non_de_latin_char	9
8	2720	'â'	7122	0.0007	non_de_latin_char	4
9	2439	'の'	7046	0.0007	foreign_script	1
10	4547	'ā'	6762	0.0007	non_de_latin_char	1
11	82803	'Ã'	6697	0.0007	non_de_latin_char	2
12	2267	'ée'	6620	0.0007	non_de_latin_char	13
13	1506	'ó'	6363	0.0006	non_de_latin_char	11
14	16096	'ō'	6137	0.0006	no_in_scope_locale_admits	0
15	2855	'án'	5760	0.0006	non_de_latin_char	8
16	81613	' Café'	5565	0.0006	non_de_latin_char	13
17	4187	'を'	5369	0.0005	foreign_script	1
18	96897	'Â'	5210	0.0005	non_de_latin_char	4
19	11333	' José'	5101	0.0005	non_de_latin_char	13
20	1921	'à'	4441	0.0004	non_de_latin_char	7
21	2739	'َ'	4228	0.0004	foreign_script	1
22	3975	'ón'	3789	0.0004	non_de_latin_char	11
23	24577	' André'	3723	0.0004	non_de_latin_char	13
24	4093	'ø'	3710	0.0004	non_de_latin_char	2
25	2747	'én'	3695	0.0004	non_de_latin_char	13
26	2713	'的'	3587	0.0004	foreign_script	3
27	2650	'に'	3584	0.0004	foreign_script	1
28	4715	'î'	3567	0.0004	non_de_latin_char	2
29	2381	'š'	3521	0.0004	non_de_latin_char	9
30	7701	'ī'	3425	0.0003	non_de_latin_char	1
31	1754	'è'	3384	0.0003	non_de_latin_char	4
32	4385	'ِ'	3368	0.0003	foreign_script	1
33	77834	' Pokémon'	3257	0.0003	non_de_latin_char	13
34	2514	'č'	3253	0.0003	non_de_latin_char	7
35	5509	'ín'	3224	0.0003	non_de_latin_char	9
36	15357	' â'	3200	0.0003	non_de_latin_char	4
37	2631	'ë'	3190	0.0003	non_de_latin_char	2
38	3291	'ité'	3125	0.0003	non_de_latin_char	13
39	2411	'ú'	3096	0.0003	non_de_latin_char	9
40	20118	' François'	3047	0.0003	non_de_latin_char	5
41	1940	'ç'	3000	0.0003	non_de_latin_char	5
42	7884	'ï'	2916	0.0003	non_de_latin_char	3
43	2624	'ñ'	2853	0.0003	non_de_latin_char	1
44	34772	' René'	2844	0.0003	non_de_latin_char	13
45	2114	'ê'	2838	0.0003	non_de_latin_char	3
46	2803	'å'	2790	0.0003	non_de_latin_char	4
47	2600	'ş'	2776	0.0003	non_de_latin_char	2
48	10095	'ū'	2707	0.0003	non_de_latin_char	2
49	19288	' São'	2669	0.0003	non_de_latin_char	2
50	9267	'ð'	2653	0.0003	non_de_latin_char	1
51	3269	'ès'	2641	0.0003	non_de_latin_char	4
52	2312	'は'	2561	0.0003	foreign_script	1
53	2894	'ère'	2427	0.0002	non_de_latin_char	4
54	2353	'ía'	2407	0.0002	non_de_latin_char	9
55	2322	'ér'	2401	0.0002	non_de_latin_char	13
56	7213	'ْ'	2398	0.0002	foreign_script	1
57	3723	'ć'	2341	0.0002	non_de_latin_char	4
58	16930	'ľ'	2320	0.0002	non_de_latin_char	1
59	3322	'が'	2318	0.0002	foreign_script	1
60	3422	'ò'	2285	0.0002	non_de_latin_char	5
61	3242	' α'	2269	0.0002	foreign_script	2
62	3404	'ُ'	2244	0.0002	foreign_script	1
63	5892	'æ'	2160	0.0002	non_de_latin_char	4
64	2797	'ô'	2157	0.0002	non_de_latin_char	5
65	6344	'û'	2118	0.0002	non_de_latin_char	1
66	6072	'ière'	2103	0.0002	non_de_latin_char	4
67	1334	'е'	2079	0.0002	foreign_script	5
68	13192	' Š'	2051	0.0002	non_de_latin_char	9
69	1668	' в'	2048	0.0002	foreign_script	5
70	6041	'ème'	2041	0.0002	non_de_latin_char	4
71	5467	'β'	1948	0.0002	foreign_script	2
72	3716	'ém'	1928	0.0002	non_de_latin_char	13
73	2546	'ž'	1874	0.0002	non_de_latin_char	9
74	11324	'َّ'	1836	0.0002	foreign_script	1
75	1756	' и'	1829	0.0002	foreign_script	5
76	7904	'É'	1820	0.0002	non_de_latin_char	13
77	8850	' β'	1804	0.0002	foreign_script	2
78	2705	'ás'	1790	0.0002	non_de_latin_char	8
79	4664	' É'	1767	0.0002	non_de_latin_char	13
80	5728	'ár'	1756	0.0002	non_de_latin_char	8
81	3462	'ées'	1716	0.0002	non_de_latin_char	13
82	11780	'する'	1713	0.0002	foreign_script	1
83	16794	'ová'	1690	0.0002	non_de_latin_char	8
84	2244	'ão'	1674	0.0002	non_de_latin_char	2
85	98763	' Chávez'	1667	0.0002	non_de_latin_char	8
86	4759	'él'	1661	0.0002	non_de_latin_char	13
87	3062	'ý'	1633	0.0002	non_de_latin_char	4
88	2201	'ł'	1542	0.0002	non_de_latin_char	1
89	2458	'ă'	1515	0.0002	non_de_latin_char	2
90	5513	'ça'	1514	0.0002	non_de_latin_char	5
91	69610	'ğan'	1512	0.0002	non_de_latin_char	2
92	1713	'α'	1499	0.0001	foreign_script	2
93	8475	'ák'	1489	0.0001	non_de_latin_char	8
94	20512	'ović'	1489	0.0001	non_de_latin_char	4
95	13677	' Č'	1482	0.0001	non_de_latin_char	7
96	22652	' Dé'	1482	0.0001	non_de_latin_char	13
97	16560	'ます'	1477	0.0001	foreign_script	1
98	18806	' María'	1472	0.0001	non_de_latin_char	9
99	2701	'で'	1468	0.0001	foreign_script	1
100	19001	'lé'	1462	0.0001	non_de_latin_char	13
101	1538	'д'	1459	0.0001	foreign_script	5
102	2748	'ét'	1454	0.0001	non_de_latin_char	13
103	56150	' Château'	1441	0.0001	non_de_latin_char	4
104	26921	' García'	1416	0.0001	non_de_latin_char	9
105	10049	'ène'	1415	0.0001	non_de_latin_char	4
106	13557	'éra'	1404	0.0001	non_de_latin_char	13
107	7467	'ña'	1402	0.0001	non_de_latin_char	1
108	4711	'ア'	1391	0.0001	foreign_script	1
109	2761	'ación'	1385	0.0001	non_de_latin_char	11
110	4052	'éd'	1380	0.0001	non_de_latin_char	13
111	30723	' López'	1372	0.0001	non_de_latin_char	11
112	5910	'ño'	1359	0.0001	non_de_latin_char	1
113	21493	'ël'	1351	0.0001	non_de_latin_char	2
114	15904	' Ç'	1348	0.0001	non_de_latin_char	5
115	3595	'ğ'	1339	0.0001	non_de_latin_char	2
116	4785	'ì'	1313	0.0001	non_de_latin_char	2
117	4210	'ég'	1296	0.0001	non_de_latin_char	13
