rank	token_id	decoded	count	mass_pct	basis	popcount
1	1164	None	19258	0.0019	status_partial_utf8	0
2	1205	None	15133	0.0015	status_partial_utf8	0
3	119685	None	14607	0.0015	status_partial_utf8	0
4	1240	None	13889	0.0014	status_partial_utf8	0
5	1154	None	13299	0.0013	status_partial_utf8	0
6	1197	None	12638	0.0013	status_partial_utf8	0
7	1159	None	12493	0.0012	status_partial_utf8	0
8	1191	None	12128	0.0012	status_partial_utf8	0
9	1226	None	11707	0.0012	status_partial_utf8	0
10	1157	None	10858	0.0011	status_partial_utf8	0
11	1152	None	9934	0.0010	status_partial_utf8	0
12	1146	None	9375	0.0009	status_partial_utf8	0
13	1194	None	8900	0.0009	status_partial_utf8	0
14	1130	None	8586	0.0009	status_partial_utf8	0
15	33778	None	8344	0.0008	status_partial_utf8	0
16	1287	None	8013	0.0008	status_partial_utf8	0
17	1184	None	7985	0.0008	status_partial_utf8	0
18	1144	None	7730	0.0008	status_partial_utf8	0
19	1145	None	7066	0.0007	status_partial_utf8	0
20	1698	None	7042	0.0007	status_partial_utf8	0
21	1186	None	6822	0.0007	status_partial_utf8	0
22	1172	None	6757	0.0007	status_partial_utf8	0
23	1153	None	6363	0.0006	status_partial_utf8	0
24	1180	None	6021	0.0006	status_partial_utf8	0
25	1143	None	5864	0.0006	status_partial_utf8	0
26	1134	None	5843	0.0006	status_partial_utf8	0
27	1135	None	5631	0.0006	status_partial_utf8	0
28	1137	None	5350	0.0005	status_partial_utf8	0
29	3221	None	5330	0.0005	status_partial_utf8	0
30	1147	None	5301	0.0005	status_partial_utf8	0
31	1182	None	5274	0.0005	status_partial_utf8	0
32	1239	None	5273	0.0005	status_partial_utf8	0
33	1129	None	5128	0.0005	status_partial_utf8	0
34	1170	None	4715	0.0005	status_partial_utf8	0
35	1225	None	4202	0.0004	status_partial_utf8	0
36	1492	None	4138	0.0004	status_partial_utf8	0
37	1540	None	4102	0.0004	status_partial_utf8	0
38	1195	None	3870	0.0004	status_partial_utf8	0
39	1148	None	3857	0.0004	status_partial_utf8	0
40	1158	None	3682	0.0004	status_partial_utf8	0
41	1156	None	3658	0.0004	status_partial_utf8	0
42	1128	None	3598	0.0004	status_partial_utf8	0
43	1166	None	3568	0.0004	status_partial_utf8	0
44	1185	None	3507	0.0003	status_partial_utf8	0
45	1136	None	3427	0.0003	status_partial_utf8	0
46	1132	None	3420	0.0003	status_partial_utf8	0
47	34094	None	3349	0.0003	status_partial_utf8	0
48	5102	None	3320	0.0003	status_partial_utf8	0
49	1204	None	3278	0.0003	status_partial_utf8	0
50	1196	None	3241	0.0003	status_partial_utf8	0
51	42851	None	3192	0.0003	status_partial_utf8	0
52	1161	None	3173	0.0003	status_partial_utf8	0
53	1165	None	3094	0.0003	status_partial_utf8	0
54	1169	None	3080	0.0003	status_partial_utf8	0
55	1171	None	2951	0.0003	status_partial_utf8	0
56	1131	None	2941	0.0003	status_partial_utf8	0
57	1133	None	2910	0.0003	status_partial_utf8	0
58	1151	None	2893	0.0003	status_partial_utf8	0
59	1201	None	2840	0.0003	status_partial_utf8	0
60	1203	None	2778	0.0003	status_partial_utf8	0
61	1202	None	2745	0.0003	status_partial_utf8	0
62	1160	None	2740	0.0003	status_partial_utf8	0
63	1138	None	2708	0.0003	status_partial_utf8	0
64	99391	None	2650	0.0003	status_partial_utf8	0
65	1163	None	2533	0.0003	status_partial_utf8	0
66	1176	None	2487	0.0002	status_partial_utf8	0
67	1140	None	2440	0.0002	status_partial_utf8	0
68	1162	None	2422	0.0002	status_partial_utf8	0
69	1173	None	2265	0.0002	status_partial_utf8	0
70	1190	None	2260	0.0002	status_partial_utf8	0
71	1141	None	2213	0.0002	status_partial_utf8	0
72	1142	None	2148	0.0002	status_partial_utf8	0
73	103302	None	2098	0.0002	status_partial_utf8	0
74	28809	None	1997	0.0002	status_partial_utf8	0
75	1155	None	1975	0.0002	status_partial_utf8	0
76	1174	None	1973	0.0002	status_partial_utf8	0
77	126241	None	1970	0.0002	status_partial_utf8	0
78	1188	None	1965	0.0002	status_partial_utf8	0
79	1214	None	1956	0.0002	status_partial_utf8	0
80	59377	None	1947	0.0002	status_partial_utf8	0
81	1168	None	1937	0.0002	status_partial_utf8	0
82	1177	None	1914	0.0002	status_partial_utf8	0
83	1187	None	1906	0.0002	status_partial_utf8	0
84	1183	None	1856	0.0002	status_partial_utf8	0
85	1139	None	1843	0.0002	status_partial_utf8	0
86	1149	None	1721	0.0002	status_partial_utf8	0
87	19961	None	1654	0.0002	status_partial_utf8	0
88	1943	None	1646	0.0002	status_partial_utf8	0
89	1167	None	1623	0.0002	status_partial_utf8	0
90	1189	None	1572	0.0002	status_partial_utf8	0
91	1150	None	1548	0.0002	status_partial_utf8	0
92	71881	None	1415	0.0001	status_partial_utf8	0
93	1181	None	1412	0.0001	status_partial_utf8	0
94	114036	None	1410	0.0001	status_partial_utf8	0
95	42120	None	1377	0.0001	status_partial_utf8	0
96	1175	None	1327	0.0001	status_partial_utf8	0
97	1178	None	1297	0.0001	status_partial_utf8	0
