tau	tp	fp	fn	precision	recall	f1	tokens_predicted_greek
0.0	1507	129565	0	0.01149749755859375	1.0	0.022733615429291216	131072
0.001	1503	14114	4	0.09624127553307293	0.9973457199734572	0.17554309740714785	15617
0.0011242100350620863	1503	12512	4	0.10724224045665358	0.9973457199734572	0.19366061074603788	14015
0.0012638482029342984	1503	11082	4	0.11942789034564959	0.9973457199734572	0.213312517740562	12585
0.0014208308325339223	1503	9767	4	0.1333629103815439	0.9973457199734572	0.2352664944822728	11270
0.001597312280060254	1503	8519	4	0.14997006585511874	0.9973457199734572	0.2607338017174083	10022
0.001795714494371641	1503	7420	4	0.16844110725092457	0.9973457199734572	0.2882070949185043	8923
0.002018760254679039	1503	6319	4	0.1921503451802608	0.9973457199734572	0.3222210311930539	7822
0.0022695105366946685	1503	5340	4	0.21964050854888206	0.9973457199734572	0.36000000000000004	6843
0.0025514065200312875	1503	4520	4	0.24954341690187615	0.9973457199734572	0.399203187250996	6023
0.002868316813342012	1503	3792	4	0.28385269121813034	0.9973457199734572	0.44192884445751257	5295
0.0032245905452963947	1503	3141	4	0.3236434108527132	0.9973457199734572	0.48870102422370354	4644
0.003625117049988535	1502	2605	5	0.36571706841977114	0.9966821499668215	0.535090844317777	4107
0.004075392965871778	1502	2170	5	0.409041394335512	0.9966821499668215	0.5800347557443523	3672
0.004581597669054491	1502	1821	5	0.4520012037315679	0.9966821499668215	0.6219461697722567	3323
0.005150678076168122	1502	1525	5	0.4962008589362405	0.9966821499668215	0.6625496250551389	3027
0.005790443980602489	1502	1281	5	0.539705353934603	0.9966821499668215	0.7002331002331001	2783
0.00650967523045817	1502	1056	5	0.5871774824081314	0.9966821499668215	0.7389913899138992	2558
0.007318242219076174	1501	865	6	0.6344040574809806	0.9960185799601858	0.7751097340562872	2366
0.008227241341700473	1501	724	6	0.6746067415730337	0.9960185799601858	0.8043944265809218	2225
0.009249147277217335	1501	616	6	0.7090222012281531	0.9960185799601858	0.8283664459161149	2117
0.0103979841848149	1500	520	7	0.7425742574257426	0.9953550099535501	0.8505812305075134	2020
0.011689518164985783	1500	445	7	0.7712082262210797	0.9953550099535501	0.8690614136732329	1945
0.013141473626117567	1500	379	7	0.7982969664715274	0.9953550099535501	0.8860011813349085	1879
0.014773776525985112	1500	315	7	0.8264462809917356	0.9953550099535501	0.9030704394942806	1815
0.016608827826277157	1500	258	7	0.8532423208191127	0.9953550099535501	0.9188361408882083	1758
0.018671810912919206	1499	214	8	0.8750729713952131	0.9946914399469144	0.9310559006211182	1713
0.020991037201085545	1498	180	9	0.8927294398092968	0.9940278699402787	0.9406593406593405	1678
0.02359833466782195	1497	148	10	0.9100303951367781	0.993364299933643	0.9498730964467005	1645
0.026529484644318972	1497	127	10	0.9217980295566502	0.993364299933643	0.9562440114979239	1624
0.02982471286216891	1495	109	12	0.9320448877805486	0.9920371599203716	0.9611057537769206	1604
0.03352924149249558	1494	95	13	0.9402139710509755	0.9913735899137359	0.9651162790697675	1589
0.03769390975388361	1491	81	16	0.9484732824427481	0.9893828798938288	0.9684962650211107	1572
0.04237587160604064	1491	71	16	0.9545454545454546	0.9893828798938288	0.9716520039100685	1562
0.04763938010401343	1488	59	19	0.9618616677440207	0.9873921698739216	0.9744597249508842	1547
0.05355666917706899	1487	52	20	0.9662118258609487	0.986728599867286	0.9763624425476033	1539
0.06020894493336132	1484	47	23	0.969301110385369	0.9847378898473789	0.9769585253456221	1531
0.06768750009458535	1477	36	30	0.9762062128222075	0.980092899800929	0.9781456953642383	1513
0.0760949668545988	1470	33	37	0.9780439121756487	0.9754479097544791	0.9767441860465116	1503
0.08554672535565684	1461	28	46	0.9811954331766286	0.9694757796947578	0.9753004005340454	1489
0.09617248711152965	1454	23	53	0.984427894380501	0.9648307896483079	0.9745308310991956	1477
0.10811807510766078	1434	18	73	0.987603305785124	0.9515593895155939	0.9692463670158838	1452
0.12154742500762872	1414	17	93	0.9881201956673655	0.9382879893828799	0.9625595643294759	1431
0.13664483492953258	1386	14	121	0.99	0.9197080291970803	0.9535603715170278	1400
0.1536174946671828	1362	11	145	0.9919883466860888	0.9037823490378235	0.9458333333333332	1373
0.1726983290659436	1323	11	184	0.9917541229385307	0.8779031187790312	0.9313621964097148	1334
0.19414919457438817	1278	7	229	0.9945525291828794	0.8480424684804246	0.9154727793696275	1285
0.21826447283974873	1230	5	277	0.9959514170040485	0.8161911081619111	0.8971553610503281	1235
0.24537511066398193	1163	4	344	0.9965724078834619	0.7717319177173192	0.8698578908002992	1167
0.2758531617629184	1105	4	402	0.9963931469792606	0.7332448573324486	0.8448012232415902	1109
0.3101168926574778	1027	4	480	0.9961202715809894	0.681486396814864	0.8092986603624902	1031
0.34863652276780877	940	2	567	0.9978768577494692	0.6237558062375581	0.7676602694977542	942
0.3919406774847221	829	1	678	0.9987951807228915	0.5500995355009953	0.709456568249893	830
0.44062364277735727	737	1	770	0.9986449864498645	0.48905109489051096	0.6565701559020045	738
0.4953535208959175	634	1	873	0.9984251968503937	0.42070338420703385	0.5919701213818861	635
0.5568813990945273	543	1	964	0.9981617647058824	0.3603185136031851	0.5294978059483179	544
0.6260516572014821	422	0	1085	1.0	0.28002654280026545	0.43753240020736134	422
0.7038135554931562	287	0	1220	1.0	0.19044459190444593	0.31995540691192864	287
0.7912342618981326	150	0	1357	1.0	0.099535500995355	0.18105009052504528	150
0.8895134973108236	36	0	1471	1.0	0.023888520238885203	0.046662346079066754	36
1.0	0	0	1507	0.0	0.0	0.0	0
