threshold_T	tokens_kept	greek_mass_kept	share_of_total_greek_mass	greek_script_in_kept	greek_mass_from_greek_script_in_kept	precision_token_level	precision_mass_level
0	131072	1002997071	1.0	1507	888234798	0.01149749755859375	0.8855806499159756
1	100014	1002997071	1.0	1504	888234798	0.015037894694742737	0.8855806499159756
5	74731	1002943277	0.9999463667426801	1503	888234797	0.0201121355260869	0.8856281480413174
10	61850	1002856585	0.9998599337883809	1503	888234797	0.024300727566693613	0.8857047062217774
50	35853	1002250118	0.9992552789817668	1503	888234797	0.04192117814408836	0.8862406509589456
100	26726	1001598702	0.9986058094879521	1503	888234797	0.056237371847639	0.8868170408232019
500	9706	997673882	0.9946927173030597	1500	888233981	0.15454358128992376	0.8903049353355729
1000	5956	995023048	0.9920498043009739	1498	888232409	0.25151108126259236	0.89267521067512
10000	1894	984593215	0.9816511368456429	1486	888158985	0.7845828933474129	0.9020567798651751
100000	1302	959064030	0.9561982359966433	1241	872650059	0.9531490015360983	0.9098975998505543
1000000	241	626967969	0.62509451635278	225	554955534	0.9336099585062241	0.8851417639168102
