rank	token_id	decoded	greek_count	share_of_greek_mass_pct	is_greek_script	is_latin	is_structural	is_digit	is_ws	is_special	is_byte_fragment
1	1044	,	20366551	2.0305693395190385	false	false	true	false	false	false	false
2	1046	.	12087394	1.2051275471770546	false	false	true	false	false	false	false
3	5147	και	11663725	1.1628872443636478	true	false	false	false	false	false	false
4	9413	να	10254487	1.022384540941496	true	false	false	false	false	false	false
5	5195	το	8716076	0.8690031359024776	true	false	false	false	false	false	false
6	4712	του	8651324	0.8625472845473544	true	false	false	false	false	false	false
7	6682	της	7051983	0.7030910860955046	true	false	false	false	false	false	false
8	1032	""	7033169	0.7012153079358294	false	false	false	false	false	false	false
9	1626	".
"	6945213	0.6924459902036942	false	false	false	false	false	false	false
10	8329	την	6370957	0.6351919845237514	true	false	false	false	false	false	false
11	6569	με	6080842	0.6062671742338518	true	false	false	false	false	false	false
12	8271	από	5857032	0.5839530512447528	true	false	false	false	false	false	false
13	1903	ε	5529554	0.5513031054504446	true	false	false	false	false	false	false
14	11641	για	5488782	0.5472380885945778	true	false	false	false	false	false	false
15	5423	ο	5340086	0.5324129206754185	true	false	false	false	false	false	false
16	2524	ί	5264602	0.5248870761657488	true	false	false	false	false	false	false
17	2004	σ	5102719	0.5087471486743753	true	false	false	false	false	false	false
18	8980	η	5008846	0.4993878990101258	true	false	false	false	false	false	false
19	3241	σ	4950905	0.49361111244959954	true	false	false	false	false	false	false
20	1779	ι	4869663	0.48551118849678077	true	false	false	false	false	false	false
21	2785	ου	4721452	0.4707343756540242	true	false	false	false	false	false	false
22	11357	που	4698049	0.4684010687405088	true	false	false	false	false	false	false
23	3466	ή	4582667	0.456897346213686	true	false	false	false	false	false	false
24	16005	είναι	4520033	0.4506526619757198	true	false	false	false	false	false	false
25	5104	ει	4495570	0.4482136718024374	true	false	false	false	false	false	false
26	2863	ά	4489654	0.4476238395715116	true	false	false	false	false	false	false
27	1713	α	4424290	0.44110697108905117	true	false	false	false	false	false	false
28	2172	π	4406079	0.43929131274601696	true	false	false	false	false	false	false
29	2419	κ	4343542	0.4330562995233313	true	false	false	false	false	false	false
30	3383	κ	4311433	0.42985499406308836	true	false	false	false	false	false	false
31	3828	ε	4304458	0.42915957827358403	true	false	false	false	false	false	false
32	11836	σε	4152584	0.41401755997750067	true	false	false	false	false	false	false
33	13312	τα	4113988	0.4101694929077216	true	false	false	false	false	false	false
34	2433	λ	4107644	0.4095369885681351	true	false	false	false	false	false	false
35	3375	γ	4105287	0.4093019928669363	true	false	false	false	false	false	false
36	2714	ό	4072070	0.4059902184898803	true	false	false	false	false	false	false
37	9432	ετ	4010335	0.3998351656203391	true	false	false	false	false	false	false
38	2594	μ	3964285	0.3952439258917836	true	false	false	false	false	false	false
39	5825	ρα	3930629	0.3918883826929939	true	false	false	false	false	false	false
40	3908	ύ	3890184	0.3878559681257534	true	false	false	false	false	false	false
41	3242	α	3845609	0.38341178765017553	true	false	false	false	false	false	false
42	1048	0	3831574	0.38201248147014777	false	false	false	true	false	false	false
43	6407	μα	3830859	0.3819411951203993	true	false	false	false	false	false	false
44	1049	1	3830602	0.3819155719149652	false	false	false	true	false	false	false
45	4368	θ	3725926	0.3714792503117888	true	false	false	false	false	false	false
46	3294	ω	3704029	0.36929609338809327	true	false	false	false	false	false	false
47	1725	ο	3694841	0.36838003886852827	true	false	false	false	false	false	false
48	4390	τα	3634138	0.36232787762547713	true	false	false	false	false	false	false
49	4559	φ	3613695	0.36028968622980156	true	false	false	false	false	false	false
50	10471	στο	3561478	0.35508358927201694	true	false	false	false	false	false	false
51	11453	των	3556168	0.3545541759612975	true	false	false	false	false	false	false
52	1976	ρ	3526564	0.35160262197814535	true	false	false	false	false	false	false
53	5828	ρο	3523693	0.3513163798660784	true	false	false	false	false	false	false
54	3327	π	3485327	0.34749124406964493	true	false	false	false	false	false	false
55	3271	έ	3466619	0.34562603423594646	true	false	false	false	false	false	false
56	13565	φ	3451256	0.34409432487764463	true	false	false	false	false	false	false
57	5268	ία	3408131	0.3397947111253329	true	false	false	false	false	false	false
58	1701	τ	3403160	0.3392990965175012	true	false	false	false	false	false	false
59	3697	χ	3388939	0.33788124591642005	true	false	false	false	false	false	false
60	6339	ση	3382102	0.3371995888909231	true	false	false	false	false	false	false
61	2171	η	3363028	0.33529788842224845	true	false	false	false	false	false	false
62	7579	ες	3282351	0.3272542956409092	true	false	false	false	false	false	false
63	4165	τη	3278905	0.3269107253454781	true	false	false	false	false	false	false
64	1838	ν	3274498	0.3264713422079375	true	false	false	false	false	false	false
65	4593	ια	3208680	0.31990920938591655	true	false	false	false	false	false	false
66	8755	ών	3207020	0.31974370541307395	true	false	false	false	false	false	false
67	2212	υ	3204369	0.31947939756246807	true	false	false	false	false	false	false
68	4075	δ	3190972	0.31814370074067744	true	false	false	false	false	false	false
69	5467	β	3084745	0.30755274259420046	true	false	false	false	false	false	false
70	5712	ων	3060946	0.30517995401005515	true	false	false	false	false	false	false
71	1045	-	2944031	0.29352338956132407	false	false	true	false	false	false	false
72	1050	2	2882062	0.28734500661368334	false	false	false	true	false	false	false
73	4835	το	2872698	0.28641140468494947	true	false	false	false	false	false	false
74	11334	τον	2850328	0.28418108909911266	true	false	false	false	false	false	false
75	2162	ς	2800356	0.27919882130941936	true	false	false	false	false	false	false
76	14074	τε	2761752	0.27534995663013256	true	false	false	false	false	false	false
77	5288	δ	2761151	0.27529003621586845	true	false	false	false	false	false	false
78	7312	ού	2753681	0.27454526833807674	true	false	false	false	false	false	false
79	8600	ική	2709312	0.2701216263073215	true	false	false	false	false	false	false
80	11068	ικό	2688585	0.26805511977412344	true	false	false	false	false	false	false
81	13992	ουν	2646527	0.2638618871898979	true	false	false	false	false	false	false
82	3612	αι	2630197	0.2622337667823558	true	false	false	false	false	false	false
83	8830	τι	2608183	0.26003894481961054	true	false	false	false	false	false	false
84	17206	δια	2589967	0.2582227879706341	true	false	false	false	false	false	false
85	15759	τους	2533139	0.2525569688328631	true	false	false	false	false	false	false
86	14034	στην	2521676	0.251414094109553	true	false	false	false	false	false	false
87	1010	"
"	2520858	0.2513325385373932	false	false	false	false	true	false	false
88	4774	ώ	2508164	0.25006693165108956	true	false	false	false	false	false	false
89	3735	μ	2506703	0.24992126821475036	true	false	false	false	false	false	false
90	5106	τη	2505044	0.2497558639430962	true	false	false	false	false	false	false
91	6950	γ	2488966	0.24815286823504593	true	false	false	false	false	false	false
92	7988	εί	2451645	0.24443192018055254	true	false	false	false	false	false	false
93	8850	β	2435848	0.24285694050645937	true	false	false	false	false	false	false
94	15806	σης	2399939	0.23927677053007068	true	false	false	false	false	false	false
95	12453	προ	2395573	0.23884147514125692	true	false	false	false	false	false	false
96	8235	νο	2331632	0.23246648144997425	true	false	false	false	false	false	false
97	11247	μο	2330814	0.23238492587781445	true	false	false	false	false	false	false
98	7915	ρι	2295446	0.2288586942443823	true	false	false	false	false	false	false
99	9608	ές	2268926	0.22621461872643894	true	false	false	false	false	false	false
100	13865	ικά	2260068	0.22533146559906556	true	false	false	false	false	false	false
101	5409	αν	2257614	0.22508679888258618	true	false	false	false	false	false	false
102	33260	θα	2255611	0.224887097402102	true	false	false	false	false	false	false
103	14952	ής	2251398	0.2244670562951225	true	false	false	false	false	false	false
104	14052	ους	2200432	0.2193856855241006	true	false	false	false	false	false	false
105	15492	άν	2188589	0.21820492434917588	true	false	false	false	false	false	false
106	8943	κα	2185938	0.21794061649857002	true	false	false	false	false	false	false
107	7380	στ	2170648	0.21641618532702575	true	false	false	false	false	false	false
108	27095	δεν	2163855	0.21573891515382101	true	false	false	false	false	false	false
109	12599	ίας	2154910	0.21484708802305166	true	false	false	false	false	false	false
110	21469	ένα	2145814	0.21394020601282493	true	false	false	false	false	false	false
111	14383	ή	2125036	0.21186861471901547	true	false	false	false	false	false	false
112	8976	ζ	2124666	0.21183172527928548	true	false	false	false	false	false	false
113	10273	αρ	2102416	0.20961337383606377	true	false	false	false	false	false	false
114	20424	επι	2088623	0.20823819534364324	true	false	false	false	false	false	false
115	6789	να	2082817	0.20765933024344793	true	false	false	false	false	false	false
116	17544	οι	2076262	0.20700578895309654	true	false	false	false	false	false	false
117	23350	μια	2067994	0.20618145952691422	true	false	false	false	false	false	false
118	20087	με	2047008	0.20408913038590518	true	false	false	false	false	false	false
119	8109	ξ	2032712	0.20266380219568955	true	false	false	false	false	false	false
120	22700	ότι	2027314	0.20212561518038571	true	false	false	false	false	false	false
121	5087	ερ	2022157	0.20161145615150056	true	false	false	false	false	false	false
122	14031	λα	2000081	0.1994104527150708	true	false	false	false	false	false	false
123	5749	πο	1978457	0.19725451421582466	true	false	false	false	false	false	false
124	20713	τις	1962102	0.19562390127857113	true	false	false	false	false	false	false
125	15881	ρε	1881304	0.1875682446534283	true	false	false	false	false	false	false
126	17645	εται	1874998	0.18693952895900331	true	false	false	false	false	false	false
127	12756	λε	1860315	0.1854756164088539	true	false	false	false	false	false	false
128	7399	έ	1845152	0.18396384728824397	true	false	false	false	false	false	false
129	8502	λο	1830924	0.1825452987788436	true	false	false	false	false	false	false
130	11718	λη	1826124	0.18206673307423846	true	false	false	false	false	false	false
131	10099	χ	1807277	0.1801876647753441	true	false	false	false	false	false	false
132	7800	ντ	1789738	0.17843900563095463	true	false	false	false	false	false	false
133	1319	(	1775833	0.17705266060542663	false	false	true	false	false	false	false
134	13757	νη	1765198	0.17599233846616089	true	false	false	false	false	false	false
135	16177	κα	1764263	0.17589911785495135	true	false	false	false	false	false	false
136	23509	εξ	1751856	0.17466212520973554	true	false	false	false	false	false	false
137	14436	λ	1739925	0.1734725903302264	true	false	false	false	false	false	false
138	19064	ανα	1684319	0.16792860604475285	true	false	false	false	false	false	false
139	10308	σε	1667341	0.1662358792670891	true	false	false	false	false	false	false
140	12329	ρά	1651896	0.16469599441133362	true	false	false	false	false	false	false
141	13363	σει	1632157	0.16272799265233348	true	false	false	false	false	false	false
142	2298	τ	1627118	0.16222559836368655	true	false	false	false	false	false	false
143	11813	Ε	1623677	0.16188252657419774	true	false	false	false	false	false	false
144	11360	τά	1598145	0.15933695583045226	true	false	false	false	false	false	false
145	12035	εν	1596776	0.15920046490345136	true	false	false	false	false	false	false
146	21239	σεις	1588570	0.15838231695095348	true	false	false	false	false	false	false
147	12739	ισ	1577063	0.15723505537535115	true	false	false	false	false	false	false
148	28440	Α	1558102	0.15534462114097242	true	false	false	false	false	false	false
149	22217	ικές	1553000	0.15483594567745254	true	false	false	false	false	false	false
150	23299	ματα	1547671	0.15430463804415237	true	false	false	false	false	false	false
151	14811	ός	1526938	0.15223753330382359	true	false	false	false	false	false	false
152	9133	ιο	1505684	0.15011848424430743	true	false	false	false	false	false	false
153	1057	9	1481081	0.14766553590464074	false	false	false	true	false	false	false
154	15468	ά	1477748	0.14733323184350555	true	false	false	false	false	false	false
155	16610	ρω	1477048	0.14726344101158398	true	false	false	false	false	false	false
156	17648	αν	1468315	0.146392750532768	true	false	false	false	false	false	false
157	19278	συν	1463852	0.14594778412867368	true	false	false	false	false	false	false
158	32590	Η	1446746	0.14424229559888715	true	false	false	false	false	false	false
159	18095	εν	1444630	0.14403132788410705	true	false	false	false	false	false	false
160	13338	ρό	1441056	0.14367499583655313	true	false	false	false	false	false	false
161	63527	ας	1435705	0.1431414947771069	true	false	false	false	false	false	false
162	20845	αλ	1430395	0.14261208146638746	true	false	false	false	false	false	false
163	16900	απο	1422235	0.14179851976855873	true	false	false	false	false	false	false
164	10516	Κ	1417923	0.14136860824392178	true	false	false	false	false	false	false
165	9957	στη	1415607	0.1411377002914498	true	false	false	false	false	false	false
166	36742	Ε	1411936	0.14077169722861535	true	false	false	false	false	false	false
167	30889	θεί	1410185	0.14059712044762293	true	false	false	false	false	false	false
168	17875	Η	1404139	0.13999432706219736	true	false	false	false	false	false	false
169	33470	μα	1397924	0.1393746841759222	true	false	false	false	false	false	false
170	1051	3	1385232	0.13810927669199544	false	false	false	true	false	false	false
171	18271	δο	1380566	0.13764407094664388	true	false	false	false	false	false	false
172	1053	5	1370452	0.13663569312656548	false	false	false	true	false	false	false
173	12049	θ	1363773	0.13596978888884512	true	false	false	false	false	false	false
174	54379	μπορεί	1361572	0.13575034657304597	true	false	false	false	false	false	false
175	28177	πε	1349968	0.13459341398216307	true	false	false	false	false	false	false
176	14893	ιν	1348366	0.1344336926782511	true	false	false	false	false	false	false
177	21828	ικής	1333882	0.13298962066460512	true	false	false	false	false	false	false
178	27857	άρ	1331467	0.13274884229447564	true	false	false	false	false	false	false
179	26348	κατά	1325264	0.13213039582246197	true	false	false	false	false	false	false
180	17661	εκ	1323658	0.1319702757137962	true	false	false	false	false	false	false
181	3765	ικ	1318770	0.1314829363046066	true	false	false	false	false	false	false
182	21150	μη	1298913	0.12950316980536825	true	false	false	false	false	false	false
