target_key	als_Latn	div_Thaa	fas_Arab	gmh_Latn	hun_Latn	lao_Laoo	mar_Deva	nob_Latn	npi_Deva	por_Latn	ron_Latn	swh_Latn	vie_Latn	cmn_Hani	dan_Latn	ell_Grek	glg_Latn	mkd_Cyrl	nld_Latn	ory_Orya	slv_Latn	tel_Telu	tgk_Cyrl	tha_Thai	cat_Latn	ces_Latn	deu_Latn	fil_Latn	fin_Latn	hin_Deva	hrv_Latn	isl_Latn	khk_Cyrl	lvs_Latn	spa_Latn	swe_Latn	tam_Taml	tur_Latn	bul_Cyrl	ceb_Latn	fra_Latn	heb_Hebr	kor_Hang	lat_Latn	rus_Cyrl	slk_Latn	ukr_Cyrl	urd_Arab	ary_Arab	azj_Latn	ekk_Latn	ita_Latn	jpn_Jpan	khm_Khmr	kir_Cyrl	mal_Mlym	srp_Cyrl	und_Mong	amh_Ethi	ben_Beng	bos_Latn	cym_Latn	eng_Latn	eus_Latn	ind_Latn	kat_Geor	lit_Latn	und_Kana	arb_Arab	bel_Cyrl	bod_Tibt	hye_Armn	kaz_Cyrl	mya_Mymr	pan_Guru	pol_Latn	sin_Sinh	und_Grek	uzn_Cyrl	uzn_Latn	afr_Latn	ckb_Arab	guj_Gujr	kan_Knda	und_Cyrl	zsm_Latn	eng_Latn_fineweb_hq
als_Latn	1220	0	0	0	22	0	0	35	0	43	78	47	7	0	38	0	50	0	23	0	41	0	0	0	42	28	47	24	51	0	45	17	0	26	35	45	0	44	0	14	53	0	0	26	0	27	0	0	0	31	31	60	0	0	0	0	0	0	0	0	86	25	41	54	40	0	41	0	0	0	0	0	0	0	0	42	0	0	0	73	30	0	0	0	0	37	49
div_Thaa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fas_Arab	0	0	2785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1301	1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0
gmh_Latn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hun_Latn	22	0	0	0	2419	0	0	39	0	59	21	27	16	0	54	0	47	0	34	0	29	0	0	0	48	125	63	27	48	0	31	111	0	34	49	55	0	54	0	8	113	0	0	27	0	126	0	0	0	38	58	55	0	0	0	0	0	0	0	0	23	26	36	57	36	0	32	0	0	0	0	0	0	0	0	64	0	0	0	33	21	0	0	0	0	38	57
lao_Laoo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mar_Deva	0	0	0	0	0	0	1037	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nob_Latn	35	0	0	0	39	0	0	2116	0	17	23	6	4	0	860	0	18	0	137	0	26	0	0	0	27	11	167	22	110	0	12	128	0	29	14	510	0	19	0	31	74	0	0	23	0	13	0	0	0	11	53	49	0	0	0	0	0	0	0	0	13	33	105	33	16	0	16	0	0	0	0	0	0	0	0	16	0	0	0	20	121	0	0	0	0	16	146
npi_Deva	0	0	0	0	0	0	829	0	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
por_Latn	43	0	0	0	59	0	0	17	0	5549	349	21	24	0	28	0	2566	0	48	0	22	0	0	0	1077	31	37	68	29	0	26	38	0	26	2616	34	0	15	0	39	396	0	0	256	0	48	0	0	0	16	30	824	0	0	0	0	0	0	0	0	27	26	170	102	36	0	40	0	0	0	0	0	0	0	0	21	0	0	0	19	29	0	0	0	0	29	249
