target_key	lang_code	total_L	masked_count	unmasked_count	delta_count	masked_mass	unmasked_mass	masked_mass_pct	unmasked_mass_pct	max_pmi_masked	min_pmi_masked	median_pmi_masked
als_Latn	sq	1004422797	1220	1227	7	492338415	497130075	49.01704904254578	49.494105120356004	1.9417061226405494	1.0006662623379567	1.2679356418884546
div_Thaa	dv	1039412057	0	18	18	0	849388258	0.0	81.7181455881457	NaN	NaN	NaN
fas_Arab	fa	1001760640	2785	2856	71	834430529	870321535	83.29639792994861	86.87919052199935	1.942851144845956	1.0003079920255353	1.6008872893304003
gmh_Latn	unmapped	1008270942	0	2993	2993	0	550613633	0.0	54.60968972365763	NaN	NaN	NaN
hun_Latn	hu	1011798772	2419	2451	32	510057785	517544286	50.41099071426823	51.15091066744248	1.9385899451612991	1.000111843093217	1.6590937215786028
lao_Laoo	lo	1006271672	0	24	24	0	844663392	0.0	83.93989570641516	NaN	NaN	NaN
mar_Deva	mr	1009782398	1037	1089	52	878544802	900383944	87.00337852393422	89.16613577175862	1.9394562409415013	1.0003646780294841	1.4635011270785254
nob_Latn	nb	1001329884	2116	2128	12	396296855	396591308	39.57705261096552	39.60645880413971	1.942350914525786	1.0000525399278146	1.2448994703135554
npi_Deva	ne	1000495849	1023	1060	37	895321212	939219128	89.4877487892506	93.87536479424215	1.943346189836006	1.0078977729436354	1.4800362183336655
por_Latn	pt	1002751777	5549	5569	20	525815328	526352355	52.437237216683585	52.490792544364645	1.9418396139143725	1.000034080601534	1.3783073656504952
ron_Latn	ro	1009067594	2939	2962	23	400886744	410324371	39.72843309840748	40.66371504147224	1.9394514365309443	1.0001976034103348	1.2569812469270754
swh_Latn	sw	1010024611	1145	1156	11	528436344	528467049	52.31915522106025	52.32219524599287	1.9392954654102046	1.0003433545035028	1.304743947557526
vie_Latn	vi	1002288154	1564	1598	34	707751239	713351285	70.61354922488688	71.17227537341522	1.9426472820770684	1.0001292790769587	1.942021488259716
cmn_Hani	zh-Hans	1008478490	2650	3828	1178	657118807	832388732	65.15942714851558	82.53906654964946	1.940017361020562	1.0193822767317822	1.9272375725401227
dan_Latn	da	1008723187	2270	2279	9	463645847	463843745	45.96363531395655	45.983253976692815	1.9376442830502754	1.0000978156806204	1.2468890057734503
ell_Grek	el	1002997071	1479	1495	16	872045379	872548114	86.94396067683033	86.99408395381047	1.9422578520337463	1.0006864015577308	1.93475879751098
glg_Latn	gl	1000952725	5460	5468	8	522636710	523131174	52.213925487839596	52.26332482385719	1.9432702221162104	1.0000173703061472	1.3302549970941246
mkd_Cyrl	mk	1001870706	2207	2227	20	631097095	634743539	62.99187023040875	63.355833761647084	1.9427646436711947	1.0001375187744903	1.2985664062790454
nld_Latn	nl	1002478543	3045	3074	29	464745180	465105273	46.35961370397132	46.395533974037384	1.9426087458519943	1.0000526890064956	1.3337919466071146
ory_Orya	or	1000808328	0	15	15	0	825485210	0.0	82.48184861227493	NaN	NaN	NaN
slv_Latn	sl	1005914693	1449	1460	11	416131045	416710700	41.36842297818986	41.42604764597071	1.9408879681974196	1.0004762850376197	1.2772333729505476
tel_Telu	te	1005987784	894	954	60	876320929	901459598	87.11049407733167	89.60939807992737	1.941091223671202	1.936985848548177	1.94103628476017
tgk_Cyrl	tg	1014265773	591	614	23	529513780	671615188	52.20661034768054	66.21688376740678	1.9203637924782515	1.0000927633951435	1.2734935998483212
tha_Thai	th	1006928797	560	650	90	904367717	918397012	89.8144655008809	91.20774127587097	1.940685195743887	1.9317655590347182	1.9402230257971138
cat_Latn	ca	1005974647	4267	4299	32	512136710	520391156	50.90950468058863	51.73004683089195	1.940945959128151	1.0000214519323107	1.2954643756850008
ces_Latn	cs	1000623880	2058	2071	13	444669759	445087007	44.43925113999878	44.48094992496082	1.9404591342054516	1.0001287617679058	1.4062107225520148
deu_Latn	de	1005786784	7329	7388	59	538629580	539393624	53.55305802069477	53.629022828758906	1.9393643824891467	1.0002290137925898	1.7123311235808423
fil_Latn	fil	1004000403	2588	2594	6	464352634	464372184	46.25024378600772	46.2521909963815	1.9417390390609897	1.0000403057280487	1.1952851627818804
fin_Latn	fi	1003286512	1767	1771	4	399949049	399977206	39.86389174142511	39.866698217906475	1.9419616602439624	1.000801050901158	1.3662541586076014
