# target_key=vie_Latn  lang_code=vi
# Σ_target=1,002,288,154  marg_total=87,843,958,530  marg_keys=87
# alpha=0.5  delta=1.0  min_count=100
# variant=B (rate test only — no char mask)
# 1,598 tokens, sorted by count desc
{4247: ' và'}
{5363: ' của'}
{6400: ' có'}
{5139: ' là'}
{7737: ' một'}
{7484: ' các'}
{8248: ' trong'}
{7075: ' được'}
{12070: ' không'}
{4164: ' cho'}
{10742: ' người'}
{9202: ' đã'}
{9547: ' với'}
{1528: ' ch'}
{14067: ' những'}
{15406: ' thể'}
{15211: ' để'}
{1326: ' th'}
{2315: ' đ'}
{1560: ' tr'}
{12768: ' ở'}
{14602: ' này'}
{14110: ' khi'}
{4640: ' kh'}
{2093: ' ra'}
{16039: ' về'}
{13942: ' đó'}
{11520: ' vào'}
{14264: ' đến'}
{12987: ' như'}
{72941: ' bạn'}
{16239: ' sự'}
{12980: ' từ'}
{67005: ' tôi'}
{8880: ' năm'}
{20469: ' làm'}
{26053: ' sẽ'}
{3855: ' nh'}
{15688: ' bị'}
{17816: ' lại'}
{15174: ' công'}
{15119: ' đầu'}
{22540: ' nhiều'}
{17440: ' trên'}
{19950: ' cũng'}
{19642: ' nhà'}
{2070: ' ph'}
{21715: ' việc'}
{25915: ' phải'}
{13133: ' thành'}
{2460: ' x'}
{21415: ' hiện'}
{13728: ' số'}
{1716: 'ng'}
{24477: ' hơn'}
{7550: ' Đ'}
{18447: ' động'}
{20366: ' ông'}
{24298: ' nước'}
{15655: ' tại'}
{16932: ' quan'}
{23426: ' nhân'}
{9574: ' sau'}
{21572: ' chỉ'}
{16207: ' ngày'}
{22456: ' học'}
{31244: ' điều'}
{20309: ' nhất'}
{20817: ' mà'}
{25881: ' cách'}
{13891: ' họ'}
{1704: ' Th'}
{23152: ' định'}
{16017: ' gia'}
{40200: ' chúng'}
{43737: ' nói'}
{25291: ' thế'}
{22564: ' thời'}
{17806: ' chính'}
{31226: ' đi'}
{21943: 'ôi'}
{23804: ' dụng'}
{23035: ' khác'}
{27748: ' nhưng'}
{27803: ' thực'}
{22898: ' theo'}
{29445: ' cơ'}
{25222: ' rằng'}
{36835: ' thì'}
{24982: ' đồng'}
{33005: ' mình'}
{51623: ' biết'}
{32956: ' hoặc'}
{42940: ' thấy'}
{26308: ' hợp'}
{15937: ' thu'}
{26961: ' còn'}
{19873: ' cả'}
{31368: ' anh'}
{38908: ' nên'}
{44168: ' đang'}
{22322: ' phát'}
{5229: ' gi'}
{5812: None}
{19820: ' nó'}
{29898: ' sinh'}
{27203: ' trước'}
{33478: 'Đ'}
{32314: ' trường'}
{33070: ' vì'}
{40593: ' rất'}
{27520: ' nhận'}
{27017: ' qua'}
{26902: ' cuộc'}
{1921: 'à'}
{24767: ' hình'}
{30674: ' hàng'}
{27082: ' dân'}
{22615: ' sử'}
{31092: ' lên'}
{17956: ' hai'}
{20402: 'ắc'}
{1827: ' Ch'}
{13319: ' Nam'}
{51331: ' nào'}
{3556: 'nh'}
{30899: ' cao'}
{28076: ' bằng'}
{33251: ' mới'}
{32729: ' thường'}
{29535: ' đối'}
{23194: ' cùng'}
{21925: ' hành'}
{32201: ' tế'}
{36215: ' đường'}
{30311: ' thông'}
{61061: ' cần'}
{27634: ' tự'}
{14968: 'àng'}
{4665: 'ác'}
{25206: ' viên'}
{35809: ' đề'}
{31239: ' lý'}
{26679: ' tiếp'}
{41522: ' giá'}
{27380: ' kết'}
{29953: ' sản'}
{32686: ' tác'}
{13324: ' ngh'}
{44846: ' tình'}
{32658: ' điểm'}
{46166: ' đây'}
{87617: ' gì'}
{12981: 'ối'}
{37320: ' năng'}
{28783: ' Việt'}
{27473: ' lượng'}
{42769: ' ý'}
{24536: ' xuất'}
{69657: ' bệnh'}
{10237: ' độ'}
{49577: ' sống'}
{11706: ' tháng'}
{21157: ' tin'}
{30548: ' lớn'}
{28561: ' chủ'}
{29993: ' hội'}
{5811: 'ông'}
{28406: ' trình'}
{39981: ' tăng'}
{34940: ' nhiên'}
{37989: ' cầu'}
{32585: ' vụ'}
{9694: 'ương'}
{41444: ' mặt'}
{26195: ' bản'}
{3774: 'ù'}
{29092: ' giải'}
{21909: ' bộ'}
{31817: ' khu'}
{12063: ' hay'}
{45846: ' văn'}
{17829: ' thứ'}
{29942: ' giới'}
{44510: ' kinh'}
{2994: ' Tr'}
{38733: ' gian'}
{65781: ' ăn'}
{34451: ' tạo'}
{16749: ' Nh'}
{28955: ' phần'}
{21826: ' cô'}
{23105: ' chiến'}
{27954: ' trở'}
{3839: 'ên'}
{18864: 'ạn'}
{35447: ' trị'}
