token_id	decoded	category	popcount	fire_anywhere	fire_mapped_caphit	fire_unmapped_caphit	fire_noncaphit
0	""	1_is_special	0	42	17	0	25
1	""	1_is_special	0	780	604	8	168
2	""	1_is_special	0	5665	1854	3048	763
3	""	1_is_special	0	2	1	0	1
4	""	2_T5_unknown	0	0	0	0	0
5	""	2_T5_unknown	0	0	0	0	0
6	""	2_T5_unknown	0	0	0	0	0
7	""	2_T5_unknown	0	0	0	0	0
8	""	2_T5_unknown	0	0	0	0	0
9	""	2_T5_unknown	0	0	0	0	0
10	""	1_is_special	0	0	0	0	0
11	""	2_T5_unknown	0	2	2	0	0
12	""	2_T5_unknown	0	5	0	0	5
13	""	2_T5_unknown	0	3	3	0	0
14	""	2_T5_unknown	0	2051	1883	3	165
15	""	2_T5_unknown	0	2037	1857	2	178
16	""	2_T5_unknown	0	4537	3952	0	585
17	""	2_T5_unknown	0	99	87	0	12
18	""	1_is_special	0	323	248	67	8
19	""	1_is_special	0	0	0	0	0
20	""	1_is_special	0	0	0	0	0
21	""	1_is_special	0	0	0	0	0
22	""	1_is_special	0	0	0	0	0
23	""	1_is_special	0	0	0	0	0
24	""	1_is_special	0	0	0	0	0
25	""	1_is_special	0	0	0	0	0
26	""	1_is_special	0	0	0	0	0
27	""	1_is_special	0	0	0	0	0
28	""	1_is_special	0	0	0	0	0
29	""	1_is_special	0	0	0	0	0
30	""	1_is_special	0	0	0	0	0
31	""	1_is_special	0	0	0	0	0
32	""	1_is_special	0	5	5	0	0
33	""	1_is_special	0	3	3	0	0
34	""	1_is_special	0	0	0	0	0
35	""	1_is_special	0	4	4	0	0
36	""	1_is_special	0	0	0	0	0
37	""	1_is_special	0	0	0	0	0
38	""	1_is_special	0	0	0	0	0
39	""	1_is_special	0	0	0	0	0
40	""	1_is_special	0	0	0	0	0
41	""	1_is_special	0	0	0	0	0
42	""	1_is_special	0	2	2	0	0
43	""	1_is_special	0	0	0	0	0
44	""	1_is_special	0	0	0	0	0
45	""	1_is_special	0	0	0	0	0
46	""	1_is_special	0	0	0	0	0
47	""	1_is_special	0	0	0	0	0
48	""	1_is_special	0	0	0	0	0
49	""	1_is_special	0	0	0	0	0
50	""	1_is_special	0	0	0	0	0
51	""	1_is_special	0	0	0	0	0
52	""	1_is_special	0	0	0	0	0
53	""	1_is_special	0	0	0	0	0
54	""	1_is_special	0	0	0	0	0
55	""	1_is_special	0	0	0	0	0
56	""	1_is_special	0	0	0	0	0
57	""	1_is_special	0	0	0	0	0
58	""	1_is_special	0	0	0	0	0
59	""	1_is_special	0	0	0	0	0
60	""	1_is_special	0	0	0	0	0
61	""	1_is_special	0	0	0	0	0
62	""	1_is_special	0	0	0	0	0
63	""	1_is_special	0	0	0	0	0
64	""	1_is_special	0	0	0	0	0
65	""	1_is_special	0	0	0	0	0
66	""	1_is_special	0	0	0	0	0
67	""	1_is_special	0	0	0	0	0
68	""	1_is_special	0	0	0	0	0
69	""	1_is_special	0	0	0	0	0
70	""	1_is_special	0	0	0	0	0
71	""	1_is_special	0	0	0	0	0
72	""	1_is_special	0	0	0	0	0
73	""	1_is_special	0	0	0	0	0
74	""	1_is_special	0	0	0	0	0
75	""	1_is_special	0	0	0	0	0
76	""	1_is_special	0	0	0	0	0
77	""	1_is_special	0	0	0	0	0
78	""	1_is_special	0	0	0	0	0
79	""	1_is_special	0	0	0	0	0
80	""	1_is_special	0	0	0	0	0
81	""	1_is_special	0	0	0	0	0
82	""	1_is_special	0	0	0	0	0
83	""	1_is_special	0	0	0	0	0
84	""	1_is_special	0	0	0	0	0
85	""	1_is_special	0	0	0	0	0
86	""	1_is_special	0	0	0	0	0
87	""	1_is_special	0	0	0	0	0
88	""	1_is_special	0	0	0	0	0
89	""	1_is_special	0	0	0	0	0
90	""	1_is_special	0	0	0	0	0
