canonical_key	row_index	iso_639_3	script	name	basis	rejection_kind	allowed_codes	allowed_mask_signature	sample_total	fired_token_types	compatible_mass	compatible_mass_pct	rejected_decoded_mass	rejected_decoded_mass_pct	unknown_standalone_mass	unknown_standalone_mass_pct	substrate_mass	substrate_mass_pct	zero_decoded_mask_mass	zero_decoded_mask_mass_pct	rejected_decoded_token_types	unknown_standalone_token_types
aau_Latn	0	aau	Latn	Abau	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	1244700	2615	1244600	99.991966	0	0.000000	100	0.008034	168757	13.558046	0	0.000000	0	3
abq_Cyrl	1	abq	Cyrl	Abaza	script_proxy_bits	script_proxy_incompatible		ru,uk,bg,mk,sr-Cyrl	2427955	3949	2200830	90.645420	223235	9.194363	3890	0.160217	134151	5.525267	218	0.008979	599	32
abz_Latn	2	abz	Latn	Abui	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	168777	3638	168743	99.979855	0	0.000000	34	0.020145	25224	14.945164	0	0.000000	0	2
ada_Latn	3	ada	Latn	Adangme	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	2862574	5690	1776114	62.046047	278	0.009712	1086182	37.944242	232543	8.123563	0	0.000000	35	59
ade_Latn	4	ade	Latn	Adele	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	64495	958	64043	99.299170	0	0.000000	452	0.700830	6589	10.216296	0	0.000000	0	8
aey_Latn	5	aey	Latn	Amele	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	925528	3601	924101	99.845818	126	0.013614	1301	0.140568	117926	12.741484	0	0.000000	92	27
agu_Latn	6	agu	Latn	Aguacateco	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	1342425	3759	1324663	98.676872	0	0.000000	17762	1.323128	209832	15.630817	0	0.000000	0	6
als_Latn	7	als	Latn	Tosk Albanian	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	1004422797	102775	1001522484	99.711246	1231121	0.122570	1669192	0.166184	93507441	9.309570	2602	0.000259	20535	805
alt_Cyrl	8	alt	Cyrl	Southern Altai	script_proxy_bits	script_proxy_incompatible		ru,uk,bg,mk,sr-Cyrl	10408440	12432	8660158	83.203227	137421	1.320284	1610861	15.476488	1222668	11.746890	2101	0.020186	5255	108
apw_Latn	9	apw	Latn	Western Apache	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	263299	2111	241110	91.572699	0	0.000000	22189	8.427301	41980	15.943851	0	0.000000	0	17
arn_Latn	10	arn	Latn	Mapudungun	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	2747750	22854	2661361	96.856009	99	0.003603	86290	3.140388	323912	11.788263	7	0.000255	22	88
asm_Beng	11	asm	Beng	Assamese	script_proxy_bits	script_proxy_incompatible		bn	404291584	57842	293624804	72.626989	3379075	0.835801	107287705	26.537210	21852960	5.405247	175	0.000043	55191	466
asm_Latn	12	asm	Latn	Assamese	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	1052656	15970	1026387	97.504503	14997	1.424682	11272	1.070815	91693	8.710633	0	0.000000	600	106
aso_Latn	13	aso	Latn	Dano	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	1101522	2667	980933	89.052511	0	0.000000	120589	10.947489	160695	14.588451	0	0.000000	0	6
att_Latn	14	att	Latn	Pamplona Atta	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	495789	2313	495781	99.998386	0	0.000000	8	0.001614	55536	11.201539	0	0.000000	0	2
ava_Cyrl	15	ava	Cyrl	Avaric	script_proxy_bits	script_proxy_incompatible		ru,uk,bg,mk,sr-Cyrl	18232626	19964	17171528	94.180224	1048665	5.751585	12433	0.068191	1453300	7.970876	83824	0.459747	12615	167
awb_Latn	16	awb	Latn	Awa (Papua New Guinea)	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	376828	2038	376688	99.962848	0	0.000000	140	0.037152	31042	8.237711	0	0.000000	0	3
bao_Latn	17	bao	Latn	Waimaha	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	907806	2197	643014	70.831653	0	0.000000	264792	29.168347	81498	8.977469	0	0.000000	0	26
bdq_Latn	18	bdq	Latn	Bahnar	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	21036	980	20088	95.493440	46	0.218673	902	4.287887	2136	10.154022	46	0.218673	1	15
bkq_Latn	19	bkq	Latn	Bakairí	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	249865	2539	249863	99.999200	0	0.000000	2	0.000800	26016	10.412022	0	0.000000	0	2
bno_Latn	20	bno	Latn	Bantoanon	script_proxy_bits	script_proxy_incompatible		en,cs,da,de,es,fr,hu,id...+20	219217	6154	218402	99.628222	0	0.000000	815	0.371778	22664	10.338614	0	0.000000	0	19
