canonical_key	sample_total	Latn	Cyrl	Grek	Arab	CJK_Han	Jpan_kana	Hang	Deva	Hebr	Thai	Armn	Geor	Beng	Taml	Telu	Knda	Mlym	Gujr	Guru	Mymr	substrate	partial_utf8	non_text	mixed_scripts	no_modeled_script
aau_Latn	1244700	1075843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168757	100	0	0	0
abq_Cyrl	2427955	223017	2066679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134151	3890	0	0	218
abz_Latn	168777	143519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25224	34	0	0	0
ada_Latn	2862574	1543571	0	0	42	217	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	232543	1086182	0	0	0
ade_Latn	64495	57454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6589	452	0	0	0
aey_Latn	925528	806175	18	8	19	12	17	0	22	9	9	0	0	12	0	0	0	0	0	0	0	117926	1301	0	0	0
agu_Latn	1342425	1114831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209832	17762	0	0	0
als_Latn	1004422797	908013751	619186	97335	431054	51305	14558	4936	1996	2605	2967	1027	224	404	223	214	74	138	59	201	13	93507441	1669107	85	1292	2602
alt_Cyrl	10408440	135088	7437490	175	22	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1222668	1610861	0	0	2101
apw_Latn	263299	199130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41980	22189	0	0	0
arn_Latn	2747750	2337449	7	12	0	64	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	323912	86290	0	0	7
asm_Beng	404291584	2903620	743	844	271021	913	213	185	191669	181	257	2	3	271771844	1335	1101	1515	1789	1971	1420	113	21852960	107287647	58	5	175
asm_Latn	1052656	934694	54	0	0	0	0	0	400	0	0	0	0	14174	0	18	0	0	0	351	0	91693	11272	0	0	0
aso_Latn	1101522	820238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160695	120589	0	0	0
att_Latn	495789	440245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55536	8	0	0	0
ava_Cyrl	18232626	957670	15718226	3463	3113	31	0	11	0	83	0	79	391	0	0	0	0	0	0	0	0	1453300	12433	0	2	83824
awb_Latn	376828	345646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31042	140	0	0	0
bao_Latn	907806	561516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81498	264792	0	0	0
bdq_Latn	21036	17952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2136	902	0	0	46
bkq_Latn	249865	223847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26016	2	0	0	0
bno_Latn	219217	195738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22664	815	0	0	0
box_Latn	129542	92790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8642	28110	0	0	0
brh_Arab	6844343	543744	140	27	5382225	47	3	2	9072	2	2	2	19	0	1	0	0	0	0	0	0	602704	226340	0	0	80013
bru_Latn	3362476	2878283	0	0	597	31	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	242605	240937	0	0	21
btx_Latn	3098310	2738626	8	5	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	359208	435	0	0	1
buk_Latn	888247	570359	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88289	229598	0	0	0
bum_Latn	1315757	1123684	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	184231	7840	0	0	0
bwq_Latn	2107	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	688	0	0	0
byr_Latn	3020576	1563866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178631	1278079	0	0	0
bzd_Latn	259939	158716	0	0	0	0	0	6	0	0	168	0	0	0	0	0	0	0	0	0	0	39183	61866	0	0	0
cak_Latn	6396611	4890847	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	972727	533023	0	0	0
cbc_Latn	1322234	933648	2	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	92518	296054	0	0	0
cbu_Latn	942993	827653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115316	24	0	0	0
chd_Latn	881516	598215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168980	114321	0	0	0
cpc_Latn	274252	238967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34785	500	0	0	0
cpy_Latn	537240	474515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61829	896	0	0	0
crt_Latn	4062	3154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	84	0	0	0
csb_Latn	10105279	8686349	6152	549	123	713	134	762	33	150	9	42	10	5	7	0	24	3	0	0	0	1284955	125156	0	0	103
cux_Latn	154960	102232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13376	39288	0	0	64
cya_Latn	674411	512374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135871	26166	0	0	0
czt_Latn	131416	116249	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	14537	406	0	0	0
dah_Latn	1089576	706211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89433	293932	0	0	0
ddg_Latn	30604	25702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4902	0	0	0	0
div_Thaa	1039412057	499248	90	253	378365	13	14	3	360	37	54	0	0	260	0	2	76	0	0	0	0	68290108	970242364	0	0	810
dos_Latn	4736	2087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	2346	0	0	0
dty_Deva	1139586	6251	181	23	147	41	9	7	952283	9	32	9	6	558	30	31	6	5	7	26	6	132346	47564	0	0	9
dyu_Latn	3015212	1900875	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	317203	797132	0	0	0
ebk_Latn	77004	65833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11091	80	0	0	0
enq_Latn	428656	355135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73025	496	0	0	0
etr_Latn	217468	190998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23722	2748	0	0	0
ext_Latn	3838135	3271376	791	6875	1058	275	94	96	157	230	67	4	17	9	37	0	0	0	0	5	0	546143	10311	0	0	590
fal_Latn	543987	462348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66337	15302	0	0	0
fas_Arab	1001760640	10102014	68246	6286	887951470	9035	3262	5562	9000	2597	398	1341	268	791	837	44	62	38	29	18	38	102356211	1237957	294	123	4719
fuh_Latn	624119	450019	0	4	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63447	110617	0	0	0
glv_Latn	4896032	4195202	1600	756	204	464	257	20	163	317	33	46	42	31	8	6	6	10	6	14	1	691586	5117	0	4	139
gmh_Latn	1008270942	978625273	4638	883	2292	131	39	154	76	131	130	553	28	116	19	0	4	13	0	0	8	29265738	368358	1	32	2325
gmv_Ethi	750689	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	21577	729100	0	0	0
gnd_Latn	910542	676361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84019	150162	0	0	0
gof_Ethi	240325	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5036	235276	0	0	0
goh_Latn	613209	535364	140	0	8	719	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71886	3618	0	0	180
gqr_Latn	102276	55754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13378	33144	0	0	0
grc_Grek	128396354	1669203	11454	72649623	2976	10970	16136	174953	130	9162	10	0	11	0	0	0	0	0	0	0	0	7776952	46072081	0	1653	1040
gud_Latn	18481	7412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2841	8228	0	0	0
guh_Latn	955042	878673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76284	66	0	19	0
gui_Latn	864044	698177	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90085	75765	0	12	0
guk_Ethi	960686	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20625	940048	0	0	0
gyr_Latn	124391	94338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12139	17914	0	0	0
hac_Arab	50174325	266246	2072	68	24871562	44	0	16	74	64	52	9	0	48	16	16	0	40	32	0	0	2930510	21970967	0	0	132489
hak_Latn	1554179	1036842	3310	266	1253	55328	369	597	266	161	149	56	115	99	99	18	10	74	11	41	29	266522	188192	0	1	371
