canonical_key	sample_total	Latn	Cyrl	Grek	Arab	CJK_Han	Jpan_kana	Hang	Deva	Hebr	Thai	Armn	Geor	Beng	Taml	Telu	Knda	Mlym	Gujr	Guru	Mymr	substrate	partial_utf8	non_text	mixed_scripts	no_modeled_script
aau_Latn	1244700	86.4339	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.5580	0.0080	0.0000	0.0000	0.0000
abq_Cyrl	2427955	9.1854	85.1202	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.5253	0.1602	0.0000	0.0000	0.0090
abz_Latn	168777	85.0347	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.9452	0.0201	0.0000	0.0000	0.0000
ada_Latn	2862574	53.9225	0.0000	0.0000	0.0015	0.0076	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.1236	37.9442	0.0000	0.0000	0.0000
ade_Latn	64495	89.0829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.2163	0.7008	0.0000	0.0000	0.0000
aey_Latn	925528	87.1043	0.0019	0.0009	0.0021	0.0013	0.0018	0.0000	0.0024	0.0010	0.0010	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.7415	0.1406	0.0000	0.0000	0.0000
agu_Latn	1342425	83.0461	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.6308	1.3231	0.0000	0.0000	0.0000
als_Latn	1004422797	90.4015	0.0616	0.0097	0.0429	0.0051	0.0014	0.0005	0.0002	0.0003	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.3096	0.1662	0.0000	0.0001	0.0003
alt_Cyrl	10408440	1.2979	71.4563	0.0017	0.0002	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.7469	15.4765	0.0000	0.0000	0.0202
apw_Latn	263299	75.6288	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.9439	8.4273	0.0000	0.0000	0.0000
arn_Latn	2747750	85.0677	0.0003	0.0004	0.0000	0.0023	0.0000	0.0000	0.0000	0.0001	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.7883	3.1404	0.0000	0.0000	0.0003
asm_Beng	404291584	0.7182	0.0002	0.0002	0.0670	0.0002	0.0001	0.0000	0.0474	0.0000	0.0001	0.0000	0.0000	67.2217	0.0003	0.0003	0.0004	0.0004	0.0005	0.0004	0.0000	5.4052	26.5372	0.0000	0.0000	0.0000
asm_Latn	1052656	88.7939	0.0051	0.0000	0.0000	0.0000	0.0000	0.0000	0.0380	0.0000	0.0000	0.0000	0.0000	1.3465	0.0000	0.0017	0.0000	0.0000	0.0000	0.0333	0.0000	8.7106	1.0708	0.0000	0.0000	0.0000
aso_Latn	1101522	74.4641	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.5885	10.9475	0.0000	0.0000	0.0000
att_Latn	495789	88.7968	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.2015	0.0016	0.0000	0.0000	0.0000
ava_Cyrl	18232626	5.2525	86.2093	0.0190	0.0171	0.0002	0.0000	0.0001	0.0000	0.0005	0.0000	0.0004	0.0021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.9709	0.0682	0.0000	0.0000	0.4597
awb_Latn	376828	91.7251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.2377	0.0372	0.0000	0.0000	0.0000
